date,time,type,title,url,speaker,end_time
SUN 30 NOV,11 a.m.,Workshop,NeurIPS 2025 Workshop on Socially Responsible and Trustworthy Foundation Models,/virtual/2025/workshop/127834,,6:00 PM
SUN 30 NOV,11 a.m.,Workshop,NeurIPS 2025 Workshop on Embodied and Safe-Assured Robotic Systems,/virtual/2025/workshop/127833,,6:00 PM
SUN 30 NOV,11 a.m.,Workshop,NeurIPS2025 Workshop Research Development AI Mexico,/virtual/2025/workshop/127832,,6:00 PM
SUN 30 NOV,11 a.m.,Workshop,Vision Language Models: Challenges of Real World Deployment,/virtual/2025/workshop/127831,,6:00 PM
MON 1 DEC,6 a.m.,Workshop,Centering Low-Resource Languages and Cultures in the Age of Large Language Models,/virtual/2025/workshop/127830,,3:00 PM
MON 1 DEC,6 a.m.,Workshop,NORA: The First Workshop on Knowledge Graphs & Agentic Systems Interplay,/virtual/2025/workshop/127827,,3:00 PM
MON 1 DEC,6 a.m.,Workshop,7th International Workshop on Large Scale Holistic Video Understanding: Toward Video Foundation Models,/virtual/2025/workshop/127828,,3:00 PM
MON 1 DEC,6 a.m.,Workshop,First Workshop on LLM Persona Modeling,/virtual/2025/workshop/127829,,3:00 PM
TUE 2 DEC,9:30 a.m.,Tutorial,"Efficient Transformers: State of the art in pruning, sparse attention, and transformer funneling",/virtual/2025/128790,,12:00 PM
TUE 2 DEC,9:30 a.m.,Tutorial,"Geospatial Foundation Models: Overview, Application and Benchmarking",/virtual/2025/128793,,12:00 PM
TUE 2 DEC,9:30 a.m.,Tutorial,From Tuning to Guarantees: Statistically Valid Hyperparameter Selection,/virtual/2025/128794,,12:00 PM
TUE 2 DEC,1:30 p.m.,Tutorial,How to Build Agents to Generate Kernels for Faster LLMs (and Other Models!),/virtual/2025/128792,,4:00 PM
TUE 2 DEC,1:30 p.m.,Tutorial,"Positional Encoding: Past, Present, and Future",/virtual/2025/128797,,4:00 PM
TUE 2 DEC,1:30 p.m.,Tutorial,Science of Trustworthy Generative Foundation Models,/virtual/2025/128795,,4:00 PM
WED 3 DEC,8:30 a.m.,Invited Talk,Rich Sutton_The Oak Architecture: A Vision of SuperIntelligence from Experience,/virtual/2025/invited-talk/129132,Rich Sutton,9:30 AM
WED 3 DEC,2:30 p.m.,Invited Talk,Are We Having the Wrong Nightmares About AI?,/virtual/2025/invited-talk/129136,Zeynep Tufekci,3:30 PM
THU 4 DEC,8:30 a.m.,Invited Talk,The Art of (Artificial) Reasoning,/virtual/2025/invited-talk/129134,Yejin Choi,9:30 AM
THU 4 DEC,2:30 p.m.,Invited Talk,"On the Science of “Alien Intelligences”: Evaluating Cognitive Capabilities in Babies, Animals, and AI",/virtual/2025/invited-talk/129137,Melanie Mitchell,3:30 PM
FRI 5 DEC,8:30 a.m.,Invited Talk,From Benchmarks to Problems - A Perspective on Problem Finding in AI,/virtual/2025/invited-talk/129135,Kyunghyun Cho,9:30 AM
FRI 5 DEC,2:30 p.m.,Invited Talk,Demystifying depth: Principles of learning in deep neural networks,/virtual/2025/invited-talk/129133,Andrew Saxe,3:30 PM
