date,time,type,title,url,speaker,end_time,abstract,overview,匹配团队,关注方向,推荐理由
TUE 2 DEC,8:30 a.m.,Expo Talk Panel,Telling Stories at Scale: Multimodal ML in the Global Media Landscape,https://neurips.cc/virtual/2025/128652,,9:30 AM,"Netflix has long been recognized as a pioneer in personalization, leveraging member preference data to recommend the most engaging shows, movies, and games. In recent years, we have expanded our use of machine learning and data-driven approaches to support a wide array of upstream creative and operational workflows. In this talk, we will discuss how modern AI methods – contrastive learning, transformers, cross-modal retrieval, graph neural networks, etc. – are transforming the curation, localization, promotion, and launch of stories on a global scale. A distinctive aspect of our work is the integration of highly creative assets—text, images, video, and speech—alongside traditional tabular datasets. We will highlight unique challenges that arise at the intersection of multimedia, personalization, and web-scale products, and share how advanced ML/AI techniques are addressing these challenges to connect great stories with our worldwide audience.",,CBG; 海思; 诺亚,CBG: 3DAIGC; 海思: 大语言模型和扩散模型的加速; 诺亚: 大模型长序列，多模态长序列,CBG: Session涉及多模态机器学习技术（文本、图像、视频、语音等）在全球媒体故事讲述中的应用，CBG团队关注视频中运动物体分割、3D/4D稀疏重建及长视频生成一致性，session中提到的跨模态检索、transformers等现代AI方法可为其视频生成和多模态内容处理难题提供技术思路。; 海思: Session强调多模态融合（文本、图像、视频、语音）及大规模个性化推荐，海思团队关注多模态条件融合延迟和长上下文推理复杂度，session中提到的transformers和跨模态检索技术可为其多模态融合和低延迟推理提供解决方案。; 诺亚: Session聚焦多模态机器学习在全球媒体内容的应用，涉及文本、图像、视频、语音等多模态数据的融合与处理，诺亚团队关注长序列及多模态长序列模型的架构演进和计算瓶颈，session中提到的现代AI方法（如transformers、对比学习）直接关联其多模态长序列模型优化难题。
TUE 2 DEC,8:30 a.m.,Expo Talk Panel,Data Scout: “From Prompt to Corpus: Accelerating Domain-Specific Data Collection with LLMGuided Discovery”,https://neurips.cc/virtual/2025/128656,,9:30 AM,"Training large language models for specialized disciplines such as advanced mathematics, molecular biology, or legal reasoning is limited by the scarcity of large, high quality, domain specific corpora. Most publicly available datasets are dominated by general purpose web text. When available, specialized data are fragmented across diverse sources such as preprints, conference papers, forums, lecture notes, and digitized books. No single source offers comprehensive real-world coverage across scientific domains. Consequently, scaling up authentic domain data remains a bottleneck: collecting a subset of relevant tokens often requires downloading and filtering hundreds of terabytes of raw web material, a process that is both time consuming and costly.x000Dx000DWe introduce Data Scout, a modular, LLM powered pipeline that turns a high-level user intent (e.g., “I need data for advanced mathematics”) into a vetted, list of seed URLs in minutes. The system first expands the original intent using an LLM that generates a hierarchical subgraph of related concepts; this taxonomy drives a diversified set of search queries that systematically cover the target domain while respecting known licensing signals. Candidate URLs are then filtered by the same LLM using chain of thought prompting based on topical relevance, licensing clarity, and crawlability. Our results show that that the list of selected candidate URLs when crawled can yield a high percentage of relevant pages (40%+) related to the user’s intended topic or query, compared to less than 1 percent in general web-scale corpora. Data Scout is available with both CLI and GUI front ends. By democratizing domain specific data acquisition, Data Scout enables researchers without dedicated crawling infrastructure to bootstrap large, high-fidelity corpora, accelerating the development of specialized LLMs across various niche domains fields.",,nan,nan,nan
TUE 2 DEC,8:30 a.m.,Expo Talk Panel,Multimodal Data Foundation at Industry-Scale,https://neurips.cc/virtual/2025/128659,,9:30 AM,"Pre-training is fundamental to foundation models, enabling them to acquire broad knowledge that gives rise to emerging capabilities at later training stages, and scaling is the key for pre-training. In this talk, we present a recipe for building and curating pre-training, multimodal image-text paired data from scratch on a global scale, enabling mutual benefits between English and non-English data. We would like to share our key observations and insights with the community on: (1) why scaling matters, including the foundational role of data and key principles to hold for scaling; (2) how to design simple yet scalable data algorithms that enable industry-scale data collection and training without data filters, serving both research and production needs; (3) how the scaling improves Meta’s products at conventional and frontier machine learning areas. Submission is facilitated by Cogs & Marvel but is entirely organized, executed, and implemented by Meta.",,诺亚; 诺亚,诺亚: 大模型长序列，多模态长序列; 诺亚: 大模型后训练Reasoning，RL,诺亚: Session重点介绍了多模态图文配对数据的规模化预训练和数据算法设计，直接关联多模态长序列模型的训练数据构建和规模化问题，有助于解决团队关注的多模态长文本推理计算瓶颈和长序列架构优化。; 诺亚: Session中提到的预训练数据规模化和多模态数据设计为后训练阶段的推理和强化学习提供了基础数据支持，能为团队在自博弈与learning from experience训练框架及latent reasoning提供数据层面的支撑和思路。
TUE 2 DEC,8:30 a.m.,Expo Talk Panel,Toward General Full Autonomy: Open Research Challenges in Scalable Self-Driving,https://neurips.cc/virtual/2025/128661,,9:30 AM,"Speaker: Ben Snyder, Director of AI Research for Autonomous Vehicles, General Motorsx000Dx000DGM’s driver-assistance systems now power millions of vehicles across North America, logging over half a billion hands-free miles with zero reported crashes—demonstrating the safety and scalability of autonomy at unprecedented consumer scale. Following GM’s acquisition of Cruise earlier this year, the combined teams now bring together a decade of experience to accelerate progress toward full, generalized autonomy. This talk will dive into the open research challenges ahead—from model architecture and the balance between imitation and reinforcement learning, to leveraging vision-language models for long-tail, common-sense reasoning, and advancing the training, deployment, and simulation infrastructure needed to scale truly generalized autonomy.",,温哥华云; 多伦多云; 计算; 计算; 计算,温哥华云: Reinforcement fine tuning (RFT); 多伦多云: AI Agent; 计算: 高效模型架构; 计算: 训推新范式; 计算: 前沿应用负载,温哥华云: Session讨论了在自动驾驶中平衡模仿学习与强化学习的挑战，直接对应温哥华云团队关注的强化学习在视觉语言模型和大语言模型中的实际应用问题，能为提升强化学习的样本效率、性能和可扩展性提供思路。; 多伦多云: Session涉及实现通用完全自主驾驶的开放研究挑战，包括模型架构、训练与部署基础设施，这与多伦多云团队关注的提升AI Agent行为可靠性、自主学习与持续优化机制高度相关，能为Agent的规划、多步执行能力及优化提供技术支持。; 计算: Session提到模型架构设计与训练、部署基础设施的挑战，特别是针对自动驾驶的规模化自主性，这与计算团队关注的模型架构对计算架构的影响及未来模型结构演进趋势密切相关，有助于理解自动驾驶领域对高效模型架构的需求。; 计算: Session强调训练、部署和仿真基础设施的进展与挑战，涉及模仿学习与强化学习的平衡，直接关联计算团队关注的训练推理新范式的演进及负载特征理解，能为未来训推范式的设计提供参考。; 计算: Session聚焦于实现通用完全自主驾驶的规模化挑战，涉及多模态模型和Agentic系统的训练与部署，这与计算团队关注的Agentic和多模态模型负载演进及其对计算架构的新诉求高度契合。
TUE 2 DEC,8:30 a.m.,Expo Talk Panel,Beyond Benchmarks: Rethinking Reasoning in Language Models,https://neurips.cc/virtual/2025/128665,,9:30 AM,"Reasoning is often described as the next frontier for AI, but what does it really mean for a model to “reason”, and how should we measure it? Popular benchmarks like GSM8K suggest steady progress, yet controlled studies reveal that models can fail dramatically under small changes—such as swapping numbers or adding irrelevant details. Large Reasoning Models (LRMs), which generate explicit chains of thought, raise new optimism but also expose clear limits: they often underperform standard models on simple tasks, improve briefly at medium complexity, and then collapse on harder ones despite having unused compute. Crucially, reasoning is not the same as knowledge recall, tool use, or agent-like behavior. True reasoning involves solving novel problems, decomposing them into steps, generalizing to new contexts, recombining partial results, and finally generating novel hypotheses—capabilities current systems largely lack. Today’s evaluations, focused on final answers and contaminated benchmarks, risk giving a misleading sense of progress. This talk will provide a critical review of reasoning in language models, highlight why current evaluations can be deceptive, and emphasize that reasoning is not just about “what"" models answer, but “how"" they solve problems.",,多伦多云; 诺亚,多伦多云: AI Agent; 诺亚: 大模型后训练Reasoning，RL,多伦多云: Session聚焦于语言模型中的推理能力，强调推理不仅是知识回忆，而是解决新问题、分解步骤、生成新假设等能力，这与多伦多云团队关注的提升AI Agent评估准确性、行为可靠性及具备planning与多步执行能力的L3+ agent持续优化密切相关，session内容可为其提供推理能力评估和优化的新思路。; 诺亚: Session深入探讨语言模型推理的本质及其评估方法，强调当前模型在复杂推理任务上的局限性，诺亚团队关注的自博弈与learning from experience训练框架及Latent Reasoning直接涉及提升模型推理能力和训练范式，session内容可为其提供对推理本质的理解及评估方法的改进思路。
TUE 2 DEC,8:30 a.m.,Expo Talk Panel,Foundational Generative Recommendations for E-Commerce,https://neurips.cc/virtual/2025/128667,,9:30 AM,"Modern commerce platforms face the challenge of delivering personalized recommendations across billions of items to users with diverse intents, temporal dynamics, and cold-start scenarios. We present a generative foundation model for commerce built on Hierarchical Sequential Transduction Units (HSTU) that integrates Liquid Foundation Models (LFM) for rich textual product representations and custom CUDA kernels developed in collaboration with Nvidia for efficient training and online serving. Our approach demonstrates that generative methods unlock substantial gains through three key innovations: (1) large-scale contrastive learning with hard negative sampling; (2) temporal mechanisms that fuse multi-scale time signals (session, day, season) with commerce-specific features; and (3) optimized training and inference kernels. By treating LFM embeddings as auxiliary features rather than end-to-end fine-tuning, we maintain modularity while capturing semantic relationships. While results are promising, significant challenges remain in handling non-stationary preferences, multi-objective optimization, and ensuring fairness in generative retrieval—we discuss our roadmap toward truly foundational commerce models that generalize across domains and market conditions.",,存储; 海思,存储: 单/多模型推理; 海思: 大语言模型和扩散模型的加速,存储: Session介绍了基于自定义CUDA内核的高效训练和在线推理服务，涉及多模型系统中模型加载、卸载及调度的优化，与团队关注的多模型推理中存储系统访问模式和调度新变化直接相关。; 海思: Session中提到利用Liquid Foundation Models的文本表示和优化训练推理内核，涉及多模态特征融合和低延迟推理，能够为团队在多模态条件融合延迟和长上下文推理复杂度优化提供技术参考。
TUE 2 DEC,8:30 a.m.,Expo Talk Panel,From Research to Markets: Applying Cutting-Edge Machine Learning in Quantitative Finance,https://neurips.cc/virtual/2025/128670,,9:30 AM,"In modern quantitative finance, the boundaries between academic machine learning research and real-world trading strategies are rapidly dissolving. In this talk, we will share how researchers at G-Research apply advances in deep learning, probabilistic modelling, reinforcement learning, and large-scale optimization to some of the most challenging problems in global financial markets. Our work transforms vast, noisy, and non-stationary data into predictive signals, demanding innovations that extend the state of the art in both theory and practice. This includes sequence modelling for high-frequency data, scalable Bayesian inference for uncertainty quantification, generative modelling for scenario analysis, and reinforcement learning for adaptive portfolio construction. Operating at the intersection of rigorous science and high-performance computing, we thrive in an environment where milliseconds matter and model generalization is paramount.x000Dx000DCome and see how cutting-edge machine learning meets the realities of global financial markets at G-Research.",,温哥华云,温哥华云: Reinforcement fine tuning (RFT),温哥华云: Session中提到利用reinforcement learning进行adaptive portfolio construction，直接涉及强化学习在实际金融场景中的应用，能够为团队在提升sample efficiency、性能和可扩展性等实际问题提供解决思路。
TUE 2 DEC,8:30 a.m.,Expo Talk Panel,GRAID: Synthetic Data Generation with Geometric Constraints and Multi-Agentic Reflection for Harmful Content Detection,https://neurips.cc/virtual/2025/128668,,9:30 AM,"The rapid integration of LLMs for synthetic data generation offers a powerful solution for data scarcity, a critical issue for training machine learning models. However, the resulting data quality is often questionable, requiring costly and time-consuming manual review. This oversight is especially challenging in the crucial domain of trustworthy and safe AI.x000Dx000DA significant need here is the automated identification of adversarial and harmful inputs, a process known as red-teaming, to improve guardrailing systems before deployment. Developing an effective, fully automated red-teaming approach capable of generating diverse, out-of-domain harmful content has been a long-standing challenge.x000Dx000DTo address data scarcity in harmful text detection & the challenge of automated red-teaming, we introduce GRAID (Geometric & Reflective AI-Driven Data Augmentation), a novel, versatile, & dynamic multi-agent framework.x000Dx000DGRAID operates in two stages:x000D1) Geometric Generation: A constrained, fine-tuned LLM generates geometrically controlled examples to diversify content within the original embedding space.x000D2) Reflective Augmentation: A multi-agentic reflective process promotes stylistic diversity & uncovers difficult edge cases.x000Dx000DThis combination ensures both reliable coverage of the input space & nuanced exploration of harmful content. We demonstrate that augmenting a harmful text classification dataset with GRAID significantly improves the performance of downstream real-world guardrail models. Furthermore, GRAID captures data variability in new geometric domains while preserving data relationships.x000Dx000DWhile initially focused on harmful text detection, GRAID’s modular design makes it an inherently domain-agnostic framework adaptable to various applications beyond classification. In this talk, we will detail how GRAID distinguishes itself from existing solutions, discuss its building blocks, & share insights on its easy adaptation for diverse synthetic data generation needs.",,多伦多云,多伦多云: AI Agent,多伦多云: Session介绍了多智能体反思机制（Reflective Augmentation）和自动化红队测试（red-teaming）技术，这与多伦多云团队关注的提升AI Agent行为可靠性、管控与校验，以及自主学习与持续优化机制高度相关。GRAID框架中的多智能体协作和生成多样化有害内容的能力，能够为该团队在Agent评估和行为优化提供技术支持。
TUE 2 DEC,9:30 a.m.,Tutorial,Planning in the Era of Language Models,https://neurips.cc/virtual/2025/109596,,12:00 PM,"For over six decades, the field of automated planning has been at the heart of AI, empowering intelligent systems to reason, act, and achieve goals in complex, dynamic environments. From robotics and logistics to space exploration, planning research has fueled autonomous decision-making in real-world applications.Today, as large language models redefine what’s possible in AI, the principles and methodologies of planning are more vital than ever. The planning community brings decades of experience in designing, benchmarking, and interpreting intelligent behavior; expertise that can accelerate the development of powerful, trustworthy, and general-purpose LLM-based agents.Participants will gain a clear understanding of what planning truly entails, what has been learned (and sometimes forgotten) in the shift toward LLM-based approaches, and how foundational insights from the planning community can inform the creation of stronger, more reliable, and more scalable LLM-powered planners.","Overview: The webpage presents a tutorial titled 'Planning in the Era of Language Models' scheduled for December 2nd, 2025, at NeurIPS in San Diego, CA. The tutorial focuses on the integration of automated planning with large language models (LLMs). It highlights the importance of planning in AI, especially as LLMs redefine AI capabilities. The tutorial aims to provide participants with insights into planning methodologies and how these can enhance the development of LLM-based agents. | Research Interests: Automated planning, Large language models, AI reasoning and decision-making, Planning formalisms and languages, Evaluation of planning tools, Human-aware AI systems",多伦多云,多伦多云: AI Agent,多伦多云: Session聚焦于自动规划与LLM结合，强调规划社区经验对构建更强大、可靠的LLM驱动规划器的贡献，直接对应该团队关注的具备planning与多步执行能力的L3+ agent的持续优化难题，能为提升Agent行为的可靠性、规划能力及自主学习机制提供方法论和技术支持。
TUE 2 DEC,9:30 a.m.,Tutorial,Foundations of Tensor/Low-Rank Computations for AI,https://neurips.cc/virtual/2025/109591,,12:00 PM,,,nan,nan,nan
