bu_name,session_title,session_type,session_date,session_time,cosine_similarity,recommendation_reason,focus_areas
CBG,  → PlayerOne: Egocentric World Simulator,Oral Paper,FRI 5 DEC,10:00-11:00,0.4915335,PlayerOne作为首个自我视角现实世界模拟器，精准实现了基于单目视频的3D/4D稀疏重建及相机轨迹控制的视频生成，直接契合CBG挑战点2和挑战点3，极具研究和应用价值。,单目视频驱动的3D/4D场景重建技术; 基于动作分解的部分运动注入算法; 长期视频中场景一致性建模; 多模态（视角转换）同步训练机制; 动态环境下的场景与动作联合重构
CBG,  → BEDLAM2.0: Synthetic humans and cameras in motion,Oral Paper,FRI 5 DEC,10:00-11:00,0.4848276,该Session介绍了BEDLAM2.0数据集，显著提升了单目视频中人体与相机运动的三维世界坐标估计性能，紧密契合CBG团队关于基于单目视频快速准确进行3D/4D稀疏重建的挑战点。,单目视频中人体三维姿态与运动的估计技术; 三维人体和相机运动联合建模方法; 基于高质量合成数据集的训练策略; 人体三维形状和动态多样性模拟; 世界坐标系下运动重建的算法优化
CBG,  → InfinityStar: Uniﬁed Spacetime AutoRegressive Modeling for Visual Generation,Oral Paper,FRI 5 DEC,10:00-11:00,0.55164164,团队关注相机轨迹控制和长视频一致性问题，而InfinityStar统一时空自回归框架兼顾视频长时间一致性并支持复杂生成任务，为团队提供高效、高质量的视频生成技术方案。,统一时空自回归模型设计; 长视频生成中的时间一致性保证; 相机轨迹控制技术在视频生成中的应用; 高分辨率视频（720p）生成效率优化; 离散化生成方法与工业级视频输出
CBG,What Makes a Good Video: Next Practices in Video Generation and Evaluation,Workshop,SAT 6 DEC,8 a.m.,0.5868987,该团队面临的相机轨迹控制及长视频一致性挑战与本次视频生成与评估研讨会高度吻合。本Session聚焦视频生成模型和一致性问题，能助力团队提升视频生成质量，解决关键技术难题。,相机轨迹控制算法与实现; 长视频生成中的帧间一致性维护技术; 前瞻性视频生成评估框架与标准; 视频生成模型的稳定性与泛化能力; 跨领域视频生成应用与展示方法
DCN,AI and ML for Next-Generation Wireless Communications and Networking (AI4NextG @ NeurIPS’25),Workshop,SAT 6 DEC,8 a.m.,0.54528713,本Session聚焦AI与机器学习在下一代无线通信中的集成，与数据中心网络优化、流量中AI业务占比及大模型助力网络技术挑战高度契合，助力团队深入探索AI驱动的网络架构与协同创新。,AI-native协议与架构设计，特别针对6G和WiFi 8/9; 强化学习在动态频谱接入和资源分配中的应用; 基于生成式AI和基础模型的物理层通信任务优化; 实时、在线学习及不确定环境下的无线信号适应策略; 低功耗和实时性AI无线硬件与算法的协同设计
DCN,Algorithmic Collective Action,Workshop,SAT 6 DEC,8 a.m.,0.4539912,该团队在数据中心AI训练和推理过程中，面临网络基础设施与计算存储的协同优化挑战。参与“Algorithmic Collective Action”研讨会，有助于从算法协同和系统优化角度寻找集体行动策略，推动AI系统的高效协作与部署。,算法集体行动在数据中心优化中的应用; 机器学习与网络资源协同设计; 算法驱动的系统优化与调度; 跨学科视角下AI系统的社会影响; 基于统计与优化方法的多方协调机制
海思,Ling 2.0 and Ling-1T: Scaling Knowledge-Enhanced Large Language Models for Reasoning and Efficiency,Expo Talk Panel,TUE 2 DEC,4 p.m.,0.4515768,该Session深入探讨了基于稀疏MoE架构和混合精度技术的高效大型语言模型训练，尤其关注长上下文推理中注意力复杂度的优化，正好对应海思团队关于长上下文推理注意力复杂度过高的挑战点。参与此会有助于探索线性或次线性复杂度的注意力机制实现方案。,稀疏MoE架构与超大规模模型训练系统; 基于FP8混合精度和交错调度的训练效率提升; 长上下文下的混合注意力机制和分块缓存技术; 基于强化学习的模型对齐与精简推理策略; 跨域推理的Ling Scaling Law及其应用
海思,  → Memory Mosaics at scale,Oral Paper,FRI 5 DEC,10:00-11:00,0.5289245,该Session介绍了Memory Mosaics在大规模模型上的应用，展示了在新任务推理和知识存储上的优势，契合海思挑战点中对长上下文推理注意力复杂度的优化需求，尤其是利用稀疏注意力与分块缓存实现效率提升。,Memory Mosaics v2架构改进与应用; 大规模模型上的训练与推理效率提升; 稀疏注意力机制的设计与实现; 分块缓存策略及其在长上下文推理中的作用; 在上下文学习中提升模型适应性的方法
海思,  → Boosting Knowledge Utilization in Multimodal Large Language Models via Adaptive Logits Fusion and Attention Reallocation,Oral Paper,FRI 5 DEC,10:00-11:00,0.52533424,该Session提出的Adaptive Logits Fusion和Attention Reallocation方法，有效解决了长上下文推理中注意力分配的复杂度问题，契合海思团队关于稀疏注意力与分块缓存实现线性复杂度的挑战。参与有助于优化长上下文模型的性能和知识利用效率。,基于查询-上下文相关性的动态注意力重分配技术; 输出层参数与检索知识的权重解耦与融合; 提升多模态大型语言模型在知识密集型任务中的表现; 无训练需求的插件式模型增强方法; 注意力复杂度优化与稀疏化机制
海思,  → KVzip: Query-Agnostic KV Cache Compression with Context Reconstruction,Oral Paper,FRI 5 DEC,3:30-4:30,0.5424141,该Session提出的KVzip技术有效缓解长上下文推理中KV缓存带来的注意力复杂度和内存压力，直接对应团队挑战点“长上下文推理注意力复杂度过高”。该方法通过稀疏缓存压缩及重要KV对重构策略，有助于实现线性或次线性复杂度。,基于重要性评估的KV缓存压缩机制; 跨多查询的缓存重用与Eviction策略; 上下文重构技术以支持查询无关缓存; 大规模上下文（170K tokens）下的缓存管理; FlashAttention环境下延迟优化方法
海思,The First Workshop on Efficient Reasoning,Workshop,SAT 6 DEC,8 a.m.,0.5535577,该团队在长上下文推理中面临高注意力复杂度挑战，符合本次研讨会聚焦的高效推理技术，特别是稀疏注意力与分块缓存技术，能够帮助优化计算资源、提升推理效率。,稀疏注意力机制的设计与优化; 分块缓存策略实现线性或次线性复杂度; 高效训练算法提升模型推理速度; 动态KV缓存布局与管理; 资源受限环境下模型部署与知识蒸馏
计算,Rich Sutton_The Oak Architecture: A Vision of SuperIntelligence from Experience,Invited Talk,WED 3 DEC,8:30 a.m.,0.513913,Session深入探讨Oak架构中持续学习与模型规划机制，契合团队对AI计算架构变革及训练推理新范式演进的关键挑战，有助于理解前沿模型结构对计算系统需求的影响，推动智能模型负载特征的精准预测。,持续学习机制及其对计算资源的影响; 基于模型的强化学习结构设计; Meta-学习与在线交叉验证优化步长; 多层次抽象的特征构建及任务分解; 利用选择性模型进行规划的FC-STOMP方法
计算,"Frontier Open-Weight Models: Building Transparent, Secure, and Sovereign AI",Expo Talk Panel,WED 3 DEC,4:30 p.m.,0.4831701,该团队关注模型架构对计算系统的影响，本Session聚焦开放权重模型在透明度与安全上的挑战，提供前沿大模型架构演进趋势及其对计算需求的深入讨论，契合团队识别计算系统需求、降低模型结构冲击的核心挑战。,开放权重模型的架构设计与演进趋势; 大规模模型训练中的计算资源优化; 模型安全性与透明度保障机制; 开放模型在私有与主权环境中的部署策略; 开放模型对计算系统需求的影响与适配
计算,Energy and Power as First-Class ML Design Metrics,Tutorial,TUE 2 DEC,9:30 a.m.,0.5346035,该团队关注低精度训练推理对计算架构的影响，而本Session深入探讨能量与功率作为关键性能指标，涵盖从计算核到集群的性能优化，契合团队在低精度模型及其硬件需求的研究和应用，促进下一代芯片设计的能效提升。,能量与功率作为计算资源的基础度量方法; 在功率约束下的性能优化技术; 低精度模型训练与推理的能效优化策略; 硬件架构设计中能效与性能的平衡; 面向多模态及强化学习的新型能效计算方案
计算,Distributed Orthonormal Updates for Large-Scale Training,Expo Talk Panel,TUE 2 DEC,4 p.m.,0.5192884,本Session聚焦正交更新及其在分布式大规模训练中的应用，紧密对应计算团队在低精度计算架构及训练推理新范式演进方面的挑战。通过深入探讨MuOn和Dion优化器的实用集成，助力解决低精度算力需求及未来负载定义难题。,正交优化器MuOn和Dion的算法设计与实现; 分布式训练中正交更新的集成实践; 低精度训练对计算架构的影响分析; 训练推理新范式下负载特征的理解与预测; 开源代码库（github.com/microsoft/dion）使用与应用指南
计算,Ling 2.0 and Ling-1T: Scaling Knowledge-Enhanced Large Language Models for Reasoning and Efficiency,Expo Talk Panel,TUE 2 DEC,4 p.m.,0.47809806,该Session深入探讨了基于低精度混合精度FP8训练架构的超大规模模型Ling-1T，针对高效大规模训推系统与低精度计算的应用挑战，直接对标计算团队对低精度训推算力架构和产品化的需求。,FP8混合精度训练流水线设计及优化; 1F1B交织调度机制提升吞吐量; 大规模稀疏MoE模型的扩展性与效率; 混合注意力机制与增强推理能力; 低精度算力定义与未来芯片架构需求
计算,On Device/Edge AI,Expo Workshop,WED 3 DEC,noon,0.47388753,该团队关注低精度训练推理对计算架构的影响，而本Session深入探讨轻量模型及低精度技术优化，契合其对下一代芯片算力和精度需求的研究，有助于推动具身、多模态及强化学习应用的进步。,轻量级模型架构设计与优化; 低精度量化技术及其在推理中的应用; 模型剪枝与稀疏性优化; 边缘设备上的实时推理与推断加速; 隐私保护及安全的分布式边缘学习
计算,  → Understanding and Mitigating Numerical Sources of Nondeterminism in LLM Inference,Oral Paper,WED 3 DEC,10:00-11:00,0.47350368,该Session针对低精度计算导致的数值不确定性问题进行深入分析，贴合团队在低精度训推对计算架构影响的挑战点，助力理解低精度模型训推的精度稳定性与硬件需求，推动下一代芯片算力精度优化。,低精度浮点运算对LLM推理结果的影响; 数值精度对模型推理可复现性的作用机制; 浮点非结合性导致的结果差异分析; 结合FP16权重和FP32计算的推理架构设计; 针对多硬件环境的推理稳定性测试方案
计算,  → Adaptive Surrogate Gradients for Sequential Reinforcement Learning in Spiking Neural Networks,Oral Paper,WED 3 DEC,3:30-4:30,0.4576773,该Session深入探讨了低精度神经网络训练中的梯度调整策略及其在强化学习中对计算效率和性能的提升，契合挑战点中关于低精度训练推理对计算架构需求的研究，助力团队洞悉新兴低精度模型训推技术。,低精度代理梯度的设计与调优; 强化学习中序列训练的梯度表现优化; 基于指导策略的学习加速方法; 神经形态计算系统在实际机器人控制中的应用; 适应性梯度斜率调度策略
计算,  → Breaking the Performance Ceiling in Reinforcement Learning requires Inference Strategies,Oral Paper,THU 4 DEC,10:00-11:00,0.55164486,该Session深入探讨了通过推理策略突破强化学习性能瓶颈，正契合挑战点中对低精度训练推理在多模态与强化学习应用中的算力与架构需求，助力团队推动低精度模型训推研究与芯片定义。,推理阶段对强化学习性能提升的具体方法; 多智能体强化学习中的推理策略应用; 低精度计算对训练与推理性能的影响; 推理时间与算力资源的权衡策略; 实验数据驱动的性能优化方法
计算,  → Analog In-memory Training on General Non-ideal Resistive Elements: The Impact of Response Functions,Oral Paper,THU 4 DEC,3:30-4:30,0.4971373,本Session深入探讨了模拟内存计算中非理想电阻元件响应函数对训练动态的影响，针对低精度训练推理对计算架构的需求具有重要启示，契合挑战点关于低精度模型训推及其产品化的研究进展。,非理想响应函数对模拟内存训练动态的影响; 模拟随机梯度下降(Analog SGD)中的隐式目标罚项; 残差学习算法及其在非理想硬件环境下的收敛性; 双层优化问题在模拟训练中的应用; 面向低精度和硬件缺陷的模拟训练算法设计
