bu_name,session_title,session_type,session_date,session_time,cosine_similarity,recommendation_reason,focus_areas
中软,BeeAI,Expo Demonstration,TUE 2 DEC,noon,0.63607544,该团队面临构建分布式AI框架、多模态数据融合及安全隐私等挑战，BeeAI提供了基于规则的确定性多模型代理设计，强调执行一致性和安全控制，能助力解决多轮对话状态管理、一致性执行及端到端安全问题。,RequirementAgent多模型确定性执行机制; 基于声明式规则的行为控制框架; 多模态数据融合与时间对齐技术; 异步编排原语与事件驱动DAG实现; AI代理的安全性与隐私保障措施
中软,Introduction to Generative Computing,Expo Workshop,TUE 2 DEC,noon,0.56258655,该团队关注分布式AI框架和多轮对话状态管理，Session中的模块化LLM编程模型与低延迟推理方案切合，有助提升系统的可维护性、扩展性和推理效率，推动复杂AI系统设计与实现。,模块化设计与组合契约保障系统稳定性; 多轮对话任务的LLM内置机制与长上下文管理; 低延迟、低成本推理架构与KV缓存重用; 基于Activated LoRAs的模型模块化与微调技术; 通过编程模型实现AI应用的可扩展性与调试性提升
中软,Agentic AI/RL,Expo Talk Panel,TUE 2 DEC,4 p.m.,0.63367695,该团队的分布式AI框架挑战与Session强调的环境与系统创新高度契合，尤其在多服务状态同步、异步编排及可扩展基础设施方面相辅相成。参与可助力解决长期对话状态一致性、RL环境集成及安全隐私等核心难题。,可扩展的强化学习环境框架; 环境与训练器的集成与标准化接口; 多服务多轮长上下文状态管理与同步; 异步编排原语与事件驱动DAG的正确性保障; 安全与隐私策略在Agentic AI中的应用
中软,On Device/Edge AI,Expo Workshop,WED 3 DEC,noon,0.5965685,该团队的挑战集中于分布式AI框架、异步编排和多模态数据融合，正与Session所聚焦的边缘设备上高效、隐私保护和分布式AI技术高度契合，通过参与可获得先进的模型架构、工具链优化及隐私保护策略支持。,轻量级模型架构优化; 编译器和工具链优化技术（量化、剪枝、稀疏性）; ExecuTorch框架及其在混合现实上的应用; 分布式设备间学习与异步任务调度; 隐私保护与安全执行（差分隐私、联邦学习、对抗鲁棒性）
可信,Planning in the Era of Language Models,Tutorial,TUE 2 DEC,9:30 a.m.,0.5830468,该团队聚焦于可信的智能代理与自适应系统，面临复杂意图推断、长期记忆与安全自进化等挑战。该Session深入探讨规划在大型语言模型中的融合，能够为团队提供规划方法论与架构设计的深刻见解，促进安全、可信与可拓展的LLM驱动代理开发。,LLM与自动规划的结合方法; 规划在不确定性与环境变化下的适应性; 可信智能代理的规划策略与架构; 长期记忆与持续学习中的规划应用; 安全、风险感知的规划决策机制
可信,BeeAI,Expo Demonstration,TUE 2 DEC,noon,0.6937528,"BeeAI's framework for deterministic, rule-based agent control directly aligns with the BU's focus on trustworthy, adaptive agent systems ensuring safe, predictable AI behavior. Both emphasize modular architectures and verifiable constraint satisfaction, addressing challenges in reliable user intent inference and risk-aware execution.","Declarative, rule-based requirement enforcement in agent design; Deterministic behavior across heterogeneous language models; Unified abstraction layers simplifying deployment of complex AI systems; Runtime uncertainty quantification and risk-aware decision making; Integration of perception, planning, tools, and memory modules via formal interfaces"
可信,ContextForge,Expo Demonstration,TUE 2 DEC,noon,0.55178905,ContextForge的安全中间件和插件架构直接对应团队对可信代理系统中安全、策略实施及自适应演化的需求，尤其在数据泄漏防护与政策控管方面具有显著关联，能助力实现隐私保护和风险监测。,安全驱动的中间件设计及模块化插件架构; 针对代理操作的细粒度安全钩子实现; 防范提示注入和数据泄漏的机制; 上下文策略执行与基于策略的访问控制; 社区开源生态与标准化代理安全方案
可信,"PRIME Guardrails in Action: A Live Demonstration of an Agentic, Multi-Layered Safety Framework for Generative AI",Expo Demonstration,TUE 2 DEC,noon,0.6642291,该团队专注于可信Agentic AI的安全性与自适应性，Session展示的多层次PRIME安全框架与异构守卫模型正契合其对安全自演化和风险感知决策的需求，体现了实际部署中的安全防护能力。,多层次安全防护体系（Defense in Depth）; Agentic工作流的异构模型编排; 实时检测和中和对抗性输入技术; 跨模态内容的安全风险评估; 基于政策的动态治理机制
可信,Introduction to Generative Computing,Expo Workshop,TUE 2 DEC,noon,0.5504661,该Session探讨通过任务分解和模块化编程模型提升大型语言模型（LLM）的可预测性和可控性，契合团队对模块化架构和安全自适应AI系统的需求，特别是在开发可组合且可验证的代理框架方面。,模块化编程模型Mellea及其开发者控制方法; LLM内在模块（LLM intrinsics）及基于激活LoRA的模块化框架; 任务分解与信息隐藏技术以实现可预测的错误模型; 使用RAG LLM intrinsics构建应用及定制训练方法; 降低推理成本和延迟的KV缓存复用机制
可信,Agentic AI/RL,Expo Talk Panel,TUE 2 DEC,4 p.m.,0.594684,该团队关注可信Agentic AI的挑战与Session中探讨的环境构建、训练集成、以及可伸缩RL框架紧密契合，有助于解决安全性、记忆架构和风险感知等核心问题。,构建可扩展的RL环境框架以支持可信Agent协议; 环境与训练器的无缝集成以提升系统的安全性和可靠性; 多代理生态系统中安全性与鲁棒性基准的建立; 高性能模拟器在异构硬件上的优化应用; 环境驱动的奖励塑造与自我监督学习机制
