date,time,title,speaker,type
SUN 13 JUL,11 a.m.,Registration West,N/A,Registration
SUN 13 JUL,3 p.m.,Coffee Break,N/A,Break
SUN 13 JUL,4 p.m.,A Unified Framework for Generative AI Safety,N/A,Expo Talk Panel
SUN 13 JUL,4 p.m.,Distributed Computing Architectures as a Solution to AI's Energy Crisis: Empirical Analysis of Decentralized Training,N/A,Expo Talk Panel
SUN 13 JUL,4 p.m.,JokeEval: Are the Jokes Funny? Review of Computational Evaluation Techniques to improve Joke Generation,N/A,Expo Talk Panel
SUN 13 JUL,5 p.m.,Toward Stateless Training of LLMs: Breaking Memory Barriers Without Sacrificing Performance,N/A,Expo Talk Panel
SUN 13 JUL,5 p.m.,Re-Imagine: Symbolic Benchmark Synthesis for Reasoning Evaluation,N/A,Expo Talk Panel
SUN 13 JUL,5 p.m.,Distillation Scaling Laws,N/A,Expo Talk Panel
SUN 13 JUL,5 p.m.,Human-Aligned Long-Form Evaluation (HALF-Eval): Framework for Assessing AI-Generated Content,N/A,Expo Talk Panel
MON 14 JUL,7:30 a.m.,Registration West,N/A,Registration
MON 14 JUL,7:30 a.m.,Registration East,N/A,Registration
MON 14 JUL,8 a.m.,Affinity Workshop: LatinX in AI,N/A,Affinity Workshop
MON 14 JUL,8 a.m.,4th MusIML workshop at ICML’25,N/A,Affinity Workshop
MON 14 JUL,8 a.m.,Situating principles in context for synthetic data,N/A,Expo Talk Panel
MON 14 JUL,8 a.m.,Otter: Generating Tests from Issues to Validate SWE Patches,N/A,Expo Talk Panel
MON 14 JUL,8 a.m.,The Next Frontier in Enterprise AI: A Vision for Generalist Agents,N/A,Expo Talk Panel
MON 14 JUL,8 a.m.,Improving LLM Benchmarks: Making AI Work for Real-World Needs,N/A,Expo Talk Panel
MON 14 JUL,8 a.m.,Foundation Models for Automated Trading,N/A,Expo Talk Panel
MON 14 JUL,9 a.m.,Coffee Break,N/A,Break
MON 14 JUL,9:30 a.m.,"Calibration and Bias in Algorithms, Data, and Models: a tutorial on metrics and plots for measuring calibration, bias, fairness, reliability, and robustness",N/A,Tutorial
MON 14 JUL,9:30 a.m.,Modern Methods in Associative Memory,N/A,Tutorial
MON 14 JUL,9:30 a.m.,Alignment Methods for Large Language Models,N/A,Tutorial
MON 14 JUL,9:30 a.m.,Generative AI Meets Reinforcement Learning,N/A,Tutorial
MON 14 JUL,9:30 a.m.,Harnessing Low Dimensionality in Diffusion Models: From Theory to Practice,N/A,Tutorial
MON 14 JUL,9:30 a.m.,DP-fy your DATA: How to (and why) synthesize Differentially Private Synthetic Data,N/A,Tutorial
MON 14 JUL,12 p.m.,Hosted Grab and Go Lunch,N/A,Break
MON 14 JUL,1:30 p.m.,Game-theoretic Statistics and Sequential Anytime-Valid Inference,N/A,Tutorial
MON 14 JUL,1:30 p.m.,Tutorial on Mechanistic Interpretability for Language Models,N/A,Tutorial
MON 14 JUL,1:30 p.m.,"Jailbreaking LLMs and Agentic Systems: Attacks, Defenses, and Evaluations",N/A,Tutorial
MON 14 JUL,1:30 p.m.,Flowing Through Continuous-Time Generative Models: A Clear and Systematic Tour,N/A,Tutorial
MON 14 JUL,1:30 p.m.,Training Neural Networks at Any Scale,N/A,Tutorial
MON 14 JUL,1:30 p.m.,The Underlying Logic of Language Models,N/A,Tutorial
MON 14 JUL,2 p.m.,"Democratizing AI Across Structured and Unstructured Data: AWS’ OSS offerings for Tables, Time Series, Graphs and Multimodal Data",N/A,Expo Talk Panel
MON 14 JUL,2 p.m.,Gen AI Applications in Amazon Pharmacy,N/A,Expo Talk Panel
MON 14 JUL,2 p.m.,OmniLong: A Resource-Effective Context Scaling Framework for Multimodal LLM Fine-tuning,N/A,Expo Talk Panel
MON 14 JUL,2 p.m.,Thursday Night Football on Prime Video – Broadcast Innovation,N/A,Expo Talk Panel
MON 14 JUL,4 p.m.,Coffee Break,N/A,Break
MON 14 JUL,4 p.m.,IBM software agent for code (ISAC),N/A,Expo Demonstration
MON 14 JUL,4 p.m.,Production Strength Sales Agent,N/A,Expo Demonstration
MON 14 JUL,4 p.m.,Excitement-Driven AI Sports Commentary Generation,N/A,Expo Demonstration
MON 14 JUL,4 p.m.,Building Advanced Software Engineering LLM Agents with Codellm-Devkit (CLDK),N/A,Expo Demonstration
MON 14 JUL,4 p.m.,"WCA4Z Platform - Accelerating Legacy Code Modernization Using AI Agents, Deep Program Analysis, and Scalable AI Pipelines",N/A,Expo Demonstration
MON 14 JUL,4 p.m.,Prompt Declaration Language (PDL),N/A,Expo Demonstration
MON 14 JUL,4 p.m.,"Real-World Autonomy: Building Modular, Voice-Guided Embodied Agents with SLMs and Vision",N/A,Expo Demonstration
MON 14 JUL,4 p.m.,"Knobs of the Mind: Dopamine, Serotonin, and a Maze-Running Rover",N/A,Expo Demonstration
MON 14 JUL,4:30 p.m.,AI in Finance: Innovation & Emerging Opportunities,N/A,Expo Workshop
MON 14 JUL,4:30 p.m.,Uncertainty Estimation in LLM-Generated Content,N/A,Expo Workshop
MON 14 JUL,4:30 p.m.,Evaluation of GenAI models,N/A,Expo Workshop
MON 14 JUL,6:30 p.m.,Welcome Reception,N/A,Reception
TUE 15 JUL,7:30 a.m.,Registration West,N/A,Registration
TUE 15 JUL,7:30 a.m.,Registration East,N/A,Registration
TUE 15 JUL,8 a.m.,Affinity Workshop: New In ML,N/A,Affinity Workshop
TUE 15 JUL,8:30 a.m.,"AI's Models of the World, and Ours",Jon Kleinberg,Invited Talk
TUE 15 JUL,9:30 a.m.,Exhibits,N/A,Exhibits
TUE 15 JUL,10 a.m.,Multi-agent Architecture Search via Agentic Supernet,N/A,Oral
TUE 15 JUL,10:15 a.m.,Training a Generally Curious Agent,N/A,Oral
TUE 15 JUL,10:30 a.m.,Emergent Misalignment: Narrow finetuning can produce broadly misaligned LLMs,N/A,Oral
TUE 15 JUL,10:45 a.m.,CollabLLM: From Passive Responders to Active Collaborators,N/A,Oral
TUE 15 JUL,11 a.m.,Poster Session 1 East,N/A,Poster Session
Synthetic Text,N/A,MATS: An Audio Language Model under Text-only Supervision,N/A,N/A
Synthetic Text,N/A,HPS: Hard Preference Sampling for Human Preference Alignment,N/A,N/A
Synthetic Text,N/A,Understanding the Skill Gap in Recurrent Language Models: The Role of the Gather-and-Aggregate Mechanism,N/A,N/A
Synthetic Text,N/A,"Focus On This, Not That! Steering LLMs with Adaptive Feature Specification",N/A,N/A
Synthetic Text,N/A,SelfCite: Self-Supervised Alignment for Context Attribution in Large Language Models,N/A,N/A
Synthetic Text,N/A,On-the-Fly Adaptive Distillation of Transformer to Dual-State Linear Attention for Long-Context LLM Serving,N/A,N/A
