"title,","doi,",authors
"“Oh LLM, I’m Asking Thee, Please Give Me a Decision Tree”: Zero-Shot Decision Tree Induction and Embedding with Large Language Models",https://doi.org/10.1145/3711896.3736818,"Ricardo Knauer (KI-Werkstatt, University of Applied Sciences Berlin); Mario Koddenbrock (KI-Werkstatt, University of Applied Sciences Berlin); Raphael Wallsberger (KI-Werkstatt, University of Applied Sciences Berlin); Nicholas M. Brisson (Julius Wolff Institute, Berlin Institute of Health at Charité – Universitätsmedizin Berlin); Georg N. Duda (Julius Wolff Institute, Berlin Institute of Health at Charité – Universitätsmedizin Berlin); Deborah Falla (Centre of Precision Rehabilitation for Spinal Pain, School of Sport, Exercise and Rehabilitation Sciences at University of Birmingham); David W. Evans (Centre of Precision Rehabilitation for Spinal Pain, School of Sport, Exercise and Rehabilitation Sciences at University of Birmingham); Erik Rodner (KI-Werkstatt, University of Applied Sciences Berlin)"
A Diffusion-Based Method for Learning the Multi-Outcome Distribution of Medical Treatments,https://doi.org/10.1145/3711896.3736819,"Yuchen Ma (Institute of AI in Management, LMU Munich); Jonas Schweisthal (Institute of AI in Management, LMU Munich); Hengrui Zhang (University of Illinois, Chicago); Stefan Feuerriegel (Munich Center for Machine Learning, LMU Munich)"
A Dual-Fusion Cognitive Diagnosis Framework for Open Student Learning Environments,https://doi.org/10.1145/3711896.3736820,Yuanhao Liu (East China Normal University); Shuo Liu (East China Normal University); Yimeng Liu (East China Normal University); Chanjin Zheng (East China Normal University); Wei Zhang (East China Normal University); Hong Qian (East China Normal University)
A Fast and Accurate Block Compression Solution for Spatiotemporal Kernel Density Visualization,https://doi.org/10.1145/3711896.3736821,"Yue Zhong (College of Computer Science and Software Engineering, Shenzhen University); Tsz Nam Chan (College of Computer Science and Software Engineering, Shenzhen University); Leong Hou U (Department of Computer and Information Science, University of Macau); Dingming Wu (College of Computer Science and Software Engineering, Shenzhen University); Wei Tu (School of Architecture and Urban Planning, Shenzhen University); Ruisheng Wang (School of Architecture & Urban Planning, Shenzhen University); Joshua Huang (College of Computer Science and Software Engineering, Shenzhen University)"
A Scalable Pretraining Framework for Link Prediction with Efficient Adaptation,https://doi.org/10.1145/3711896.3736822,"Yu Song (Computer Science and Engineering, Michigan State University); Zhigang Hua (Monetization AI, Meta); Harry Shomer (Computer Science and Engineering, Michigan State University); Yan Xie (Monetization AI, Meta); Jingzhe Liu (Computer Science and Engineering, Michigan State University); Bo Long (Monetization AI, Meta); Hui Liu (Computer Science and Engineering, Michigan State University)"
A Two-Stage Data Selection Framework for Data-Efficient Model Training on Edge Devices,https://doi.org/10.1145/3711896.3736823,Chen Gong (Shanghai Jiao Tong University); Rui Xing (Shanghai Jiao Tong University); Zhenzhe Zheng (Shanghai Jiao Tong University); Fan Wu (Shanghai Jiao Tong University)
A Unified Online-Offline Framework for Co-Branding Campaign Recommendations,https://doi.org/10.1145/3711896.3736824,Xiangxiang Dai (The Chinese University of Hong Kong); Xiaowei Sun (Fudan University); Jinhang Zuo (City University of Hong Kong); Xutong Liu (Carnegie Mellon University); John C.S. Lui (The Chinese University of Hong Kong)
A Unified Solution to Diverse Heterogeneities in One-Shot Federated Learning,https://doi.org/10.1145/3711896.3736825,"Jun Bai (McGill University,Mila-Quebec AI Institute); Yiliao Song (The University of Adelaide); Di Wu (University of Southern Queensland); Atul Sajjanhar (Deakin University); Yong Xiang (Deakin University); Wei Zhou (Monash University); Xiaohui Tao (University of Southern Queensland); Yan Li (University of Southern Queensland); Yue Li (McGill University,Mila-Quebec AI Institute)"
A/B Test and Online Experiment Under Diminishing Marginal Effects: Regret Minimization and Statistical Inference,https://doi.org/10.1145/3711896.3736826,"Jingxu Xu (Industrial Engineering & Operations Research, University of California, Berkeley); Yuhang Wu (Industrial Engineering and Operations Research, University of California, Berkeley); Yingfei Wang (Foster School of Business, University of Washington); Chu Wang (Amazon, Amazon); Zeyu Zheng (Department of Industrial Engineering and Operations Research, Berkeley Artificial Intelligence Research Lab, University of California, Berkeley)"
Accurate Graph-based Multi-Positive Unlabeled Learning via Disentangled Multi-view Feature Propagation,https://doi.org/10.1145/3711896.3736827,"Junghun Kim (IPAI, Seoul National University); Hoyoung Yoon (IPAI, Seoul National University); Ka Hyun Park (Computer Science and Engineering, Seoul National University); U Kang (Computer Science and Engineering, Seoul National University)"
Adapting Large Vision-Language Models to Visually-Aware Conversational Recommendation,https://doi.org/10.1145/3711896.3736828,"Hyunsik Jeon (Computer Science and Engineering, University of California, San Diego); Satoshi Koide (Toyota Motor Corporation); Yu Wang (Computer Science and Engineering, University of California, San Diego); Zhankui He (Google DeepMind); Julian McAuley (University of California, San Diego, University of California, San Diego)"
Adapting Pretrained Language Models for Citation Classification via Self-Supervised Contrastive Learning,https://doi.org/10.1145/3711896.3736829,"Tong Li (Department of Computer Science and Engineering, The Hong Kong University of Science and Technology); Jiachuan Wang (Department of Computer Science and Engineering, The Hong Kong University of Science and Technology); Yongqi Zhang (Thrust of Data Science And Analytics, The Hong Kong University of Science and Technology); Shuangyin Li (School of Computer Science, South China Normal University); Lei Chen (Department of Computer Science and Engineering, The Hong Kong University of Science and Technology)"
Adaptive Conformal Prediction Intervals for Invariant Learning,https://doi.org/10.1145/3711896.3736830,"Shuxin Liang (Department of Mathematical and Statistical Sciences, University of Alberta); Yihan Xiao (College of Biomass Science and Engineering, Sichuan University); Linglong Kong (Department of Mathematical and Statistical Sciences, University of Alberta); Wenlu Tang (Department of Mathematical and Statistical Sciences, University of Alberta)"
Addressing and Visualizing Misalignments in Human Task-Solving Trajectories,https://doi.org/10.1145/3711896.3736831,Sejin Kim (GIST); Hosung Lee (KAIST); Sundong Kim (GIST)
Addressing Correlated Latent Exogenous Variables in Debiased Recommender Systems,https://doi.org/10.1145/3711896.3736832,Shuqiang Zhang (Dalhousie University); Yuchao Zhang (Beijing University of Chemical Technology); Jinkun Chen (Dalhousie University); Haochen Sui (University of Michigan)
Advancing Graph Foundation Models: A Data-Centric Perspective,https://doi.org/10.1145/3711896.3736833,"Yuhan Li (HKUST (GZ)); Yuyao Wang (HKUST (GZ)); Jianheng Tang (HKUST (GZ)); Heng Chang (Huawei Technologies Co., Ltd.); Yuxiang Ren (Nanjing University); Jia Li (HKUST (GZ))"
Advancing Molecular Graph-Text Pre-training via Fine-grained Alignment,https://doi.org/10.1145/3711896.3736834,"Yibo Li (School of Computer Science, Beijing University of Posts and Telecommunications); Yuan Fang (School of Computing and Information Systems, Singapore Management University); Mengmei Zhang (China Telecom Bestpay); Chuan Shi (Institute of Computing Technology, Beijing University of Post and Telecommunication)"
Advancing Tool-Augmented Large Language Models via Meta-Verification and Reflection Learning,https://doi.org/10.1145/3711896.3736835,"Zhiyuan Ma (State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China); Jiayu Liu (State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China); Xianzhen Luo (Research Center for Social Computing and Interactive Robotics, Harbin Institute of Techology); Zhenya Huang (State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China); Qingfu Zhu (Research Center for Social Computing and Interactive Robotics, Harbin Institute of Technology); Wanxiang Che (Research Center for Social Computing and Interactive Robotics, Harbin Institute of Technology)"
AffinityTune: A Prompt-Tuning Framework for Few-Shot Anomaly Detection on Graphs,https://doi.org/10.1145/3711896.3736836,"Jingyan Chen (School of Computer Science, Nanjing University); Guanghui Zhu (School of Computer Science, Nanjing University); Guansong Pang (School of Computing and Information Systems, Singapore Management University); Chunfeng Yuan (School of Computer Science, Nanjing University); Yihua Huang (School of Computer Science, Nanjing University)"
AGODE: Adaptive Graph ODE for Grid-free Fluid Modeling and Domain Adaptation,https://doi.org/10.1145/3711896.3736837,"Jie Lv (School of Artificial Intelligence, Xidian University,Research Center, Zhejiang Dahua Technology Co.,Ltd.); Shuyuan Yang (School of Artificial Intelligence, Xidian University); Zhixi Feng (School of Artificial Intelligence, Xidian University)"
AlphaAgent: LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay,https://doi.org/10.1145/3711896.3736838,"Ziyi Tang (School of Computer Science and Engineering, SUN YAT-SEN UNIVERSITY); Zechuan Chen (SCHOOL OF COMPUTER SCIENCE AND ENGINEERING, Sun Yat-Sen University); Jiarui Yang (School of Computer Science And Engineering, SUN YAT-SEN UNIVERSITY); Jiayao Mai (University of New South Wales); Yongsen Zheng (Nanyang Technological University); Keze Wang (SUN YAT-SEN UNIVERSITY); Jinrui Chen (School of Management and Economics, The Chinese University of Hong Kong); Liang Lin (School of Comuputer Science and Engineering, SUN YAT-SEN UNIVERSITY)"
Alpine: Partial Unlabeled Graph Alignment,https://doi.org/10.1145/3711896.3736839,"Petros Petsinis (Aarhus University); Konstantinos Skitsas (Aarhus University); Sayan Ranu (Indian Institute of Technology Delhi); Davide Mottin (Aarhus University); Panagiotis Karras (University of Copenhagen,Aarhus University)"
ALSA: Context-Sensitive Prompt Privacy Preservation in Large Language Models,https://doi.org/10.1145/3711896.3736840,"Hongru Ma (School of Software, Beihang University); Wenpeng Lu (Key Laboratory of Computing Power Network and Information Security, Ministry of Education, Shandong Computer Science Center (National Supercomputer Center in Jinan), Qilu University of Technology (Shandong Academy of Sciences)); Yanjie Liang (School of Software, Shandong University); Tianyi Wang (School of Computing, National University of Singapore); Qi Zhang (Department of Computer Science and Technology, Tongji University); Yingjie Zhu (School of Computer Science and Technology, Harbin Institute of Technology (Shenzhen)); Jiasheng Si (Key Laboratory of Computing Power Network and Information Security, Ministry of Education, Shandong Computer Science Center (National Supercomputer Center in Jinan), Qilu University of Technology (Shandong Academy of Sciences))"
An Efficient White-box LLM Watermarking for IP Protection on Online Market Platforms,https://doi.org/10.1145/3711896.3736841,"Shuguang Yuan (State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences); Xingyu Su (State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science); Peizhuo Lv (College of Computing and Data Science, Nanyang Technological University); Weiji Xue (State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science); Jing Yu (State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science); Xiaojie Zhu (King Abdullah University of Science and Technology); Chi Chen (State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science)"
An Optimization Framework for Differentially Private Sparse Fine-Tuning,https://doi.org/10.1145/3711896.3736842,"Mehdi Makni (Operations Research Center, Massachusetts Institute of Technology)"
Learning Pattern Adjustment via Tuning-Free Knowledge State Guided Model Updating,https://doi.org/10.1145/3711896.3736901,Yiyun Zhou (Zhejiang University); Zheqi Lv (Zhejiang University); Shengyu Zhang (Zhejiang University); Jingyuan Chen (Zhejiang University)
DarkDistill: Difficulty-Aligned Federated Early-Exit Network Training on Heterogeneous Devices,https://doi.org/10.1145/3711896.3736902,"Lehao Qu (SKLCCSE Lab, Beihang University); Shuyuan Li (Department of Data Science, City University of Hong Kong); Zimu Zhou (Department of Data Science, City University of Hong Kong); Boyi Liu (SKLCCSE Lab, Beihang University, City University of Hong Kong); Yi Xu (SKLCCSE Lab, Institute of Artificial Intelligence, Beihang University); Yongxin Tong (SKLCCSE Lab, Beihang University)"
Data Watermarking for Sequential Recommender Systems,https://doi.org/10.1145/3711896.3736903,Sixiao Zhang (Nanyang Technological University); Cheng Long (Nanyang Technological University); Wei Yuan (The University of Queensland); Hongxu Chen (The University of Queensland); Hongzhi Yin (The University of Queensland)
Decoupling Spatio-Temporal Prediction: When Lightweight Large Models Meet Adaptive Hypergraphs,https://doi.org/10.1145/3711896.3736904,"Jiawen Chen (School of Mathematics, Southeast University); Qi Shao (School of Mathematics, Southeast University); Duxin Chen (School of Mathematics, Southeast University); Wenwu Yu (School of Mathematics, Southeast University)"
Depth-Adaptive Graph Neural Networks via Learnable Bakry-Émery Curvature,https://doi.org/10.1145/3711896.3736905,"Asela Hevapathige (School of Computing, Australian National University); Ahad N. Zehmakan (School of Computing, Australian National University); Qing Wang (School of Computing, Australian National University)"
Detecting Interference using Dyadic Data in Online Controlled Experiments,https://doi.org/10.1145/3711896.3736906,Yilin Li (Tencent); Lu Deng (Tencent); Yong Wang (Tencent)
Difference-in-Differences Subset Scan,https://doi.org/10.1145/3711896.3736907,"Will Stamey (IT, Analytics and Operations, University of Notre Dame); Sriram Somanchi (IT, Analytics, and Operations, University of Notre Dame); Edward McFowland III (Technology and Operations Management, Harvard University)"
Diffmv: A Unified Diffusion Framework for Healthcare Predictions with Random Missing Views and View Laziness,https://doi.org/10.1145/3711896.3736908,"Chuang Zhao (The Hong Kong University of Science and Technology); Hui Tang (The Hong Kong University of Science and Technology); Hongke Zhao (College of Management and Economics & Laboratory of Computation and Analytics of Complex Management Systems (CACMS), Tianjin University,ai-deepcube.com); Xiaomeng Li (The Hong Kong University of Science and Technology)"
Diffusion-Guided Diversity for Single Domain Generalization in Time Series Classification,https://doi.org/10.1145/3711896.3736909,"Junru Zhang (Computer Science and Technology, Zhejiang University); Lang Feng (College of Computing and Data Science, Nanyang Technological University); Xu Guo (Department of Intelligent Systems, KTH Royal Institute of Technology); Han Yu (College of Computing and Data Science, Nanyang Technological University); Yabo Dong (Computer Science and Technology, Zhejiang University); Duanqing Xu (Computer Science and Technology, Zhejiang University)"
