title,author,doi,affiliation
"“Oh LLM, I’m Asking Thee, Please Give Me a Decision Tree”: Zero-Shot Decision Tree Induction and Embedding with Large Language Models","Ricardo Knauer (KI-Werkstatt, University of Applied Sciences Berlin); Mario Koddenbrock (KI-Werkstatt, University of Applied Sciences Berlin); Raphael Wallsberger (KI-Werkstatt, University of Applied Sciences Berlin); Nicholas M. Brisson (Julius Wolff Institute, Berlin Institute of Health at Charité – Universitätsmedizin Berlin); Georg N. Duda (Julius Wolff Institute, Berlin Institute of Health at Charité – Universitätsmedizin Berlin); Deborah Falla (Centre of Precision Rehabilitation for Spinal Pain, School of Sport, Exercise and Rehabilitation Sciences at University of Birmingham); David W. Evans (Centre of Precision Rehabilitation for Spinal Pain, School of Sport, Exercise and Rehabilitation Sciences at University of Birmingham); Erik Rodner (KI-Werkstatt, University of Applied Sciences Berlin)",https://doi.org/10.1145/3711896.3736818,"KI-Werkstatt; University of Applied Sciences Berlin; Julius Wolff Institute; Berlin Institute of Health at Charité – Universitätsmedizin Berlin; Centre of Precision Rehabilitation for Spinal Pain; School of Sport, Exercise and Rehabilitation Sciences at University of Birmingham"
A Diffusion-Based Method for Learning the Multi-Outcome Distribution of Medical Treatments,"Yuchen Ma (Institute of AI in Management, LMU Munich); Jonas Schweisthal (Institute of AI in Management, LMU Munich); Hengrui Zhang (University of Illinois, Chicago); Stefan Feuerriegel (Munich Center for Machine Learning, LMU Munich)",https://doi.org/10.1145/3711896.3736819,Institute of AI in Management; LMU Munich; University of Illinois; Chicago; Munich Center for Machine Learning
A Dual-Fusion Cognitive Diagnosis Framework for Open Student Learning Environments,Yuanhao Liu (East China Normal University); Shuo Liu (East China Normal University); Yimeng Liu (East China Normal University); Chanjin Zheng (East China Normal University); Wei Zhang (East China Normal University); Hong Qian (East China Normal University),https://doi.org/10.1145/3711896.3736820,East China Normal University
A Fast and Accurate Block Compression Solution for Spatiotemporal Kernel Density Visualization,Yue Zhong (Shenzhen University); Tsz Nam Chan (Shenzhen University); Leong Hou U (University of Macau); Dingming Wu (Shenzhen University); Wei Tu (Shenzhen University); Ruisheng Wang (Shenzhen University); Joshua Huang (Shenzhen University),https://doi.org/10.1145/3711896.3736821,Shenzhen University; University of Macau
A Scalable Pretraining Framework for Link Prediction with Efficient Adaptation,Yu Song (Michigan State University); Zhigang Hua (Meta); Harry Shomer (Michigan State University); Yan Xie (Meta); Jingzhe Liu (Michigan State University); Bo Long (Meta); Hui Liu (Michigan State University),https://doi.org/10.1145/3711896.3736822,Michigan State University; Meta
A Two-Stage Data Selection Framework for Data-Efficient Model Training on Edge Devices,Chen Gong (Shanghai Jiao Tong University); Rui Xing (Shanghai Jiao Tong University); Zhenzhe Zheng (Shanghai Jiao Tong University); Fan Wu (Shanghai Jiao Tong University),https://doi.org/10.1145/3711896.3736823,Shanghai Jiao Tong University
A Unified Online-Offline Framework for Co-Branding Campaign Recommendations,Xiangxiang Dai (The Chinese University of Hong Kong); Xiaowei Sun (Fudan University); Jinhang Zuo (City University of Hong Kong); Xutong Liu (Carnegie Mellon University); John C.S. Lui (The Chinese University of Hong Kong),https://doi.org/10.1145/3711896.3736824,The Chinese University of Hong Kong; Fudan University; City University of Hong Kong; Carnegie Mellon University
A Unified Solution to Diverse Heterogeneities in One-Shot Federated Learning,"Jun Bai (McGill University, Mila-Quebec AI Institute); Yiliao Song (The University of Adelaide); Di Wu (University of Southern Queensland); Atul Sajjanhar (Deakin University); Yong Xiang (Deakin University); Wei Zhou (Monash University); Xiaohui Tao (University of Southern Queensland); Yan Li (University of Southern Queensland); Yue Li (McGill University, Mila-Quebec AI Institute)",https://doi.org/10.1145/3711896.3736825,McGill University; Mila-Quebec AI Institute; University of Adelaide; University of Southern Queensland; Deakin University; Monash University
A/B Test and Online Experiment Under Diminishing Marginal Effects: Regret Minimization and Statistical Inference,Jingxu Xu (UC Berkeley); Yuhang Wu (UC Berkeley); Yingfei Wang (University of Washington); Chu Wang (Amazon); Zeyu Zheng (UC Berkeley),https://doi.org/10.1145/3711896.3736826,"University of California, Berkeley; University of Washington; Amazon"
Accurate Graph-based Multi-Positive Unlabeled Learning via Disentangled Multi-view Feature Propagation,Junghun Kim (Seoul National University); Hoyoung Yoon (Seoul National University); Ka Hyun Park (Seoul National University); U Kang (Seoul National University),https://doi.org/10.1145/3711896.3736827,Seoul National University
Adapting Large Vision-Language Models to Visually-Aware Conversational Recommendation,Hyunsik Jeon (UC San Diego); Satoshi Koide (Toyota); Yu Wang (UC San Diego); Zhankui He (Google DeepMind); Julian McAuley (UC San Diego),https://doi.org/10.1145/3711896.3736828,"University of California, San Diego; Toyota Motor Corporation; Google DeepMind"
Adapting Pretrained Language Models for Citation Classification via Self-Supervised Contrastive Learning,Tong Li (HKUST); Jiachuan Wang (HKUST); Yongqi Zhang (HKUST); Shuangyin Li (HKUST); Lei Chen (HKUST),https://doi.org/10.1145/3711896.3736829,Hong Kong University of Science and Technology; South China Normal University
Adaptive Conformal Prediction Intervals for Invariant Learning,Shuxin Liang (University of Alberta); Yihan Xiao (Sichuan University); Linglong Kong (University of Alberta); Wenlu Tang (University of Alberta),https://doi.org/10.1145/3711896.3736830,University of Alberta; Sichuan University
Addressing and Visualizing Misalignments in Human Task-Solving Trajectories,Sejin Kim (GIST); Hosung Lee (KAIST); Sundong Kim (GIST),https://doi.org/10.1145/3711896.3736831,GIST; KAIST
Addressing Correlated Latent Exogenous Variables in Debiased Recommender Systems,Shuqiang Zhang (Dalhousie University); Yuchao Zhang (Beijing University of Chemical Technology); Jinkun Chen (Dalhousie University); Haochen Sui (University of Michigan),https://doi.org/10.1145/3711896.3736832,Dalhousie University; Beijing University of Chemical Technology; University of Michigan
Advancing Graph Foundation Models: A Data-Centric Perspective,Yuhan Li (HKUST (GZ)); Yuyao Wang (HKUST (GZ)); Jianheng Tang (HKUST (GZ)); Heng Chang (Huawei Technologies); Yuxiang Ren (Nanjing University); Jia Li (HKUST (GZ)),https://doi.org/10.1145/3711896.3736833,HKUST (GZ); Huawei Technologies; Nanjing University
Advancing Molecular Graph-Text Pre-training via Fine-grained Alignment,Yibo Li (Beijing University of Posts and Telecommunications); Yuan Fang (Singapore Management University); Mengmei Zhang (China Telecom Bestpay); Chuan Shi (Beijing University of Posts and Telecommunications),https://doi.org/10.1145/3711896.3736834,Beijing University of Posts and Telecommunications; Singapore Management University; China Telecom Bestpay
Advancing Tool-Augmented Large Language Models via Meta-Verification and Reflection Learning,Zhiyuan Ma (University of Science and Technology of China); Jiayu Liu (University of Science and Technology of China); Xianzhen Luo (Harbin Institute of Technology); Zhenya Huang (University of Science and Technology of China); Qingfu Zhu (Harbin Institute of Technology); Wanxiang Che (Harbin Institute of Technology),https://doi.org/10.1145/3711896.3736835,University of Science and Technology of China; Harbin Institute of Technology
AffinityTune: A Prompt-Tuning Framework for Few-Shot Anomaly Detection on Graphs,Jingyan Chen (Nanjing University); Guanghui Zhu (Nanjing University); Guansong Pang (Singapore Management University); Chunfeng Yuan (Nanjing University); Yihua Huang (Nanjing University),https://doi.org/10.1145/3711896.3736836,Nanjing University; Singapore Management University
AGODE: Adaptive Graph ODE for Grid-free Fluid Modeling and Domain Adaptation,Jie Lv (Xidian University); Shuyuan Yang (Xidian University); Zhixi Feng (Xidian University),https://doi.org/10.1145/3711896.3736837,Xidian University
AlphaAgent: LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay,"Ziyi Tang (SUN YAT-SEN UNIVERSITY); Zechuan Chen (Sun Yat-Sen University); Jiarui Yang (SUN YAT-SEN UNIVERSITY); Jiayao Mai (University of New South Wales); Yongsen Zheng (Nanyang Technological University); Keze Wang (SUN YAT-SEN UNIVERSITY); Jinrui Chen (School of Management and Economics, The Chinese University of Hong Kong); Liang Lin (School of Computer Science and Engineering, SUN YAT-SEN UNIVERSITY)",https://doi.org/10.1145/3711896.3736838,SUN YAT-SEN UNIVERSITY; University of New South Wales; Nanyang Technological University; The Chinese University of Hong Kong
Alpine: Partial Unlabeled Graph Alignment,"Petros Petsinis (Aarhus University); Konstantinos Skitsas (Aarhus University); Sayan Ranu (Indian Institute of Technology Delhi); Davide Mottin (Aarhus University); Panagiotis Karras (University of Copenhagen, Aarhus University)",https://doi.org/10.1145/3711896.3736839,Aarhus University; Indian Institute of Technology Delhi; University of Copenhagen
ALSA: Context-Sensitive Prompt Privacy Preservation in Large Language Models,"Hongru Ma (School of Software, Beihang University); Wenpeng Lu (Key Laboratory of Computing Power Network and Information Security, Shandong Computer Science Center (National Supercomputer Center in Jinan), Qilu University of Technology (Shandong Academy of Sciences)); Yanjie Liang (School of Software, Shandong University); Tianyi Wang (School of Computing, National University of Singapore); Qi Zhang (Department of Computer Science and Technology, Tongji University); Yingjie Zhu (School of Computer Science and Technology, Harbin Institute of Technology (Shenzhen)); Jiasheng Si (Key Laboratory of Computing Power Network and Information Security, Shandong Computer Science Center (National Supercomputer Center in Jinan), Qilu University of Technology (Shandong Academy of Sciences))",https://doi.org/10.1145/3711896.3736840,"School of Software, Beihang University; Shandong Computer Science Center; Qilu University of Technology; National University of Singapore; Tongji University; Harbin Institute of Technology"
An Efficient White-box LLM Watermarking for IP Protection on Online Market Platforms,"Shuguang Yuan (Institute of Information Engineering, Chinese Academy of Sciences); Xingyu Su (Institute of Information Engineering, Chinese Academy of Sciences); Peizhuo Lv (Nanyang Technological University); Weiji Xue (Institute of Information Engineering, Chinese Academy of Sciences); Jing Yu (Institute of Information Engineering, Chinese Academy of Sciences); Xiaojie Zhu (King Abdullah University of Science and Technology)",https://doi.org/10.1145/3711896.3736841,Chinese Academy of Sciences; Nanyang Technological University; King Abdullah University of Science and Technology
An Optimization Framework for Differentially Private Sparse Fine-Tuning,"Mehdi Makni (Operations Research Center, Massachusetts Institute of Technology)",https://doi.org/10.1145/3711896.3736842,Massachusetts Institute of Technology
An Efficient White-box LLM Watermarking for IP Protection on Online Market Platforms,"Shuguang Yuan (State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences); Xingyu Su (State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science); Peizhuo Lv (College of Computing and Data Science, Nanyang Technological University); Weiji Xue (State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science); Jing Yu (State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science); Xiaojie Zhu (King Abdullah University of Science and Technology); Chi Chen (State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science)",https://doi.org/10.1145/3711896.3736841,Chinese Academy of Sciences; Nanyang Technological University; King Abdullah University of Science and Technology
AnomalyGFM: Graph Foundation Model for Zero/Few-shot Anomaly Detection,"Hezhe Qiao (School of Computing and Information Systems, Singapore Management University); Chaoxi Niu (Australian Artificial Intelligence Institute, University of Technology Sydney); Ling Chen (Australian Artificial Intelligence Institute, University of Technology Sydney); Guansong Pang (School of Computing and Information Systems, Singapore Management University)",https://doi.org/10.1145/3711896.3736843,Singapore Management University; University of Technology Sydney
Anytime Algorithms for Approximate Functional Dependencies,"Sanjivni Rana (University of Texas at Arlington); Junya Ogawa (University of Texas at Arlington); Suraj Shetiya (Indian Institute of Technology, Bombay); Senjuti Basu Roy (New Jersey Institute of Technology); Gautam Das (University of Texas at Arlington)",https://doi.org/10.1145/3711896.3736844,University of Texas at Arlington; Indian Institute of Technology Bombay; New Jersey Institute of Technology
Are You Using Reliable Graph Prompts? Trojan Prompt Attacks on Graph Neural Networks,Minhua Lin (The Pennsylvania State University); Zhiwei Zhang (The Pennsylvania State University); Enyan Dai (Hong Kong University of Science and Technology (Guangzhou)); Zongyu Wu (The Pennsylvania State University); Yilong Wang (The Pennsylvania State University); Xiang Zhang (The Pennsylvania State University); Suhang Wang (The Pennsylvania State University),https://doi.org/10.1145/3711896.3736845,Pennsylvania State University; Hong Kong University of Science and Technology
Are Your Fairness Metrics Accurate? A Semi-Supervised Approach to Improving Fairness Estimates Under Sample Selection Bias,M. Clara De Paolis Kaluza (Northeastern University); Thulasi Tholeti (Northeastern University); Yile Chen (University of Washington); Ricardo Baeza-Yates (Barcelona Supercomputing Center); Predrag Radivojac (Northeastern University); Shantanu Jain (Northeastern University),https://doi.org/10.1145/3711896.3736846,Northeastern University; University of Washington; Barcelona Supercomputing Center
ArnoldiGCL: Graph Contrastive Learning via Learnable Arnoldi-Based Guided Spectral Chebyshev Polynomial Filters,"Mustafa Coskun (Artificial Intelligence and Data Engineering, Ankara University); Abdelkader Baggag (Qatar Computing Research Institute, Hamad Bin Khalifa University); Mehmet Koyutürk (Dept. of Computer and Data Sciences, Case Western Reserve University)",https://doi.org/10.1145/3711896.3736847,Ankara University; Qatar Computing Research Institute; Case Western Reserve University
ATOM: A Framework of Detecting Query-Based Model Extraction Attacks for Graph Neural Networks,"Zhan Cheng (Department of Mathematics, University of Wisconsin – Madison); Bolin Shen (Florida State University); Tianming Sha (Department of Computer Science, Arizona State University); Yuan Gao (Department of Computer Sciences, University of Wisconsin – Madison); Shibo Li (Department of Computer Science, Florida State University); Yushun Dong (CS, Florida State University)",https://doi.org/10.1145/3711896.3736848,University of Wisconsin – Madison; Florida State University; Arizona State University
AtomR: Atomic Operator-Empowered Large Language Models for Heterogeneous Knowledge Reasoning,Amy Xin (Tsinghua University); Jinxin Liu (Tsinghua University); Zijun Yao (Tsinghua University); Zhicheng Lee (Tsinghua University); Shulin Cao (Zhipu AI); Lei Hou (Tsinghua University); Juanzi Li (Tsinghua University),https://doi.org/10.1145/3711896.3736849,Tsinghua University; Zhipu AI
Auto-Bidding in Real-Time Auctions via Oracle Imitation Learning,Alberto Silvio Chiappa (EPFL); Briti Gangopadhyay (Sony Group Corporation); Zhao Wang (Sony Group Corporation); Shingo Takamatsu (Sony Group Corporation),https://doi.org/10.1145/3711896.3736850,EPFL; Sony Group Corporation
Bayesian Optimization for Simultaneous Selection of Machine Learning Algorithms and Hyperparameters on Shared Latent Space,"Kazuki Ishikawa (Graduate School of Engineering, Nagoya Institute of Technology); Ryota Ozaki (Nagoya Institute of Technology); Yohei Kanzaki (Nagoya Institute of Technology); Ichiro Takeuchi (Nagoya University); Masayuki Karasuyama (Department of Computer Science, Nagoya Institute of Technology)",https://doi.org/10.1145/3711896.3736851,Nagoya Institute of Technology; Nagoya University
Bayesian Stream Tuner: Dynamic Hyperparameter Optimization for Real-Time Data Streams,"Nilesh Verma (AI Institute, University of Waikato); Albert Bifet (AI Institute, The University of Waikato); Bernhard Pfahringer (Department of Computer Science, The University of Waikato); Maroua Bahri (Sorbonne Université, CNRS, LIP6)",https://doi.org/10.1145/3711896.3736852,University of Waikato; Sorbonne Université
Beyond Advertising: Mechanism Design for Platform-Wide Marketing Service “QuanZhanTui”,"Ningyuan Li (CFCS, School of CS, Peking University); Zhilin Zhang (Alibaba Group); Tianyan Long (School of EECS, Peking University); Yuyao Liu (Alibaba Group); Rongquan Bai (Alibaba Group); Yurong Chen (Inria, Ecole Normale Supérieure, PSL Research University); Xiaotie Deng (CFCS, School of CS & CMAR, Institute for AI, Peking University); Pengjie Wang (Alibaba Group); Chuan Yu (Alibaba Group); Jian Xu (Alibaba Group); Bo Zheng (Alibaba Group)",https://doi.org/10.1145/3711896.3736853,Peking University; Alibaba Group; Inria
