title,doi,author,affiliation
"“Oh LLM, I’m Asking Thee, Please Give Me a Decision Tree”: Zero-Shot Decision Tree Induction and Embedding with Large Language Models",https://doi.org/10.1145/3711896.3736818,"['Ricardo Knauer', 'Mario Koddenbrock', 'Raphael Wallsberger', 'Nicholas M. Brisson', 'Georg N. Duda', 'Deborah Falla', 'David W. Evans', 'Erik Rodner']","['KI-Werkstatt, University of Applied Sciences Berlin', 'KI-Werkstatt, University of Applied Sciences Berlin', 'KI-Werkstatt, University of Applied Sciences Berlin', 'Julius Wolff Institute, Berlin Institute of Health at Charité – Universitätsmedizin Berlin', 'Julius Wolff Institute, Berlin Institute of Health at Charité – Universitätsmedizin Berlin', 'Centre of Precision Rehabilitation for Spinal Pain, School of Sport, Exercise and Rehabilitation Sciences at University of Birmingham', 'Centre of Precision Rehabilitation for Spinal Pain, School of Sport, Exercise and Rehabilitation Sciences at University of Birmingham', 'KI-Werkstatt, University of Applied Sciences Berlin']"
A Diffusion-Based Method for Learning the Multi-Outcome Distribution of Medical Treatments,https://doi.org/10.1145/3711896.3736819,"['Yuchen Ma', 'Jonas Schweisthal', 'Hengrui Zhang', 'Stefan Feuerriegel']","['Institute of AI in Management, LMU Munich', 'Institute of AI in Management, LMU Munich', 'University of Illinois, Chicago', 'Munich Center for Machine Learning, LMU Munich']"
A Dual-Fusion Cognitive Diagnosis Framework for Open Student Learning Environments,https://doi.org/10.1145/3711896.3736820,"['Yuanhao Liu', 'Shuo Liu', 'Yimeng Liu', 'Chanjin Zheng', 'Wei Zhang', 'Hong Qian']","['East China Normal University', 'East China Normal University', 'East China Normal University', 'East China Normal University', 'East China Normal University', 'East China Normal University']"
A Fast and Accurate Block Compression Solution for Spatiotemporal Kernel Density Visualization,https://doi.org/10.1145/3711896.3736821,"['Yue Zhong', 'Tsz Nam Chan', 'Leong Hou U', 'Dingming Wu', 'Wei Tu', 'Ruisheng Wang', 'Joshua Huang']","['College of Computer Science and Software Engineering, Shenzhen University', 'College of Computer Science and Software Engineering, Shenzhen University', 'Department of Computer and Information Science, University of Macau', 'College of Computer Science and Software Engineering, Shenzhen University', 'School of Architecture and Urban Planning, Shenzhen University', 'School of Architecture & Urban Planning, Shenzhen University', 'College of Computer Science and Software Engineering, Shenzhen University']"
A Scalable Pretraining Framework for Link Prediction with Efficient Adaptation,https://doi.org/10.1145/3711896.3736822,"['Yu Song', 'Zhigang Hua', 'Harry Shomer', 'Yan Xie', 'Jingzhe Liu', 'Bo Long', 'Hui Liu']","['Computer Science and Engineering, Michigan State University', 'Monetization AI, Meta', 'Computer Science and Engineering, Michigan State University', 'Monetization AI, Meta', 'Computer Science and Engineering, Michigan State University', 'Monetization AI, Meta', 'Computer Science and Engineering, Michigan State University']"
A Two-Stage Data Selection Framework for Data-Efficient Model Training on Edge Devices,https://doi.org/10.1145/3711896.3736823,"['Chen Gong', 'Rui Xing', 'Zhenzhe Zheng', 'Fan Wu']","['Shanghai Jiao Tong University', 'Shanghai Jiao Tong University', 'Shanghai Jiao Tong University', 'Shanghai Jiao Tong University']"
A Unified Online-Offline Framework for Co-Branding Campaign Recommendations,https://doi.org/10.1145/3711896.3736824,"['Xiangxiang Dai', 'Xiaowei Sun', 'Jinhang Zuo', 'Xutong Liu', 'John C.S. Lui']","['The Chinese University of Hong Kong', 'Fudan University', 'City University of Hong Kong', 'Carnegie Mellon University', 'The Chinese University of Hong Kong']"
A Unified Solution to Diverse Heterogeneities in One-Shot Federated Learning,https://doi.org/10.1145/3711896.3736825,"['Jun Bai', 'Yiliao Song', 'Di Wu', 'Atul Sajjanhar', 'Yong Xiang', 'Wei Zhou', 'Xiaohui Tao', 'Y Li', 'Yue Li']","['McGill University,Mila-Quebec AI Institute', 'The University of Adelaide', 'University of Southern Queensland', 'Deakin University', 'Deakin University', 'Monash University', 'University of Southern Queensland', 'University of Southern Queensland', 'McGill University,Mila-Quebec AI Institute']"
A/B Test and Online Experiment Under Diminishing Marginal Effects: Regret Minimization and Statistical Inference,https://doi.org/10.1145/3711896.3736826,"['Jingxu Xu', 'Yuhang Wu', 'Yingfei Wang', 'Chu Wang', 'Zeyu Zheng']","['Industrial Engineering & Operations Research, University of California, Berkeley', 'Industrial Engineering and Operations Research, University of California, Berkeley', 'Foster School of Business, University of Washington', 'Amazon, Amazon', 'Department of Industrial Engineering and Operations Research, Berkeley Artificial Intelligence Research Lab, University of California, Berkeley']"
Accurate Graph-based Multi-Positive Unlabeled Learning via Disentangled Multi-view Feature Propagation,https://doi.org/10.1145/3711896.3736827,"['Junghun Kim', 'Hoyoung Yoon', 'Ka Hyun Park', 'U Kang']","['IPAI, Seoul National University', 'IPAI, Seoul National University', 'Computer Science and Engineering, Seoul National University', 'Computer Science and Engineering, Seoul National University']"
Adapting Large Vision-Language Models to Visually-Aware Conversational Recommendation,https://doi.org/10.1145/3711896.3736828,"['Hyunsik Jeon', 'Satoshi Koide', 'Yu Wang', 'Zhankui He', 'Julian McAuley']","['Computer Science and Engineering, University of California, San Diego', 'Toyota Motor Corporation', 'Computer Science and Engineering, University of California, San Diego', 'Google DeepMind', 'University of California, San Diego']"
Adapting Pretrained Language Models for Citation Classification via Self-Supervised Contrastive Learning,https://doi.org/10.1145/3711896.3736829,"['Tong Li', 'Jiachuan Wang', 'Yongqi Zhang', 'Shuangyin Li', 'Lei Chen']","['Department of Computer Science and Engineering, The Hong Kong University of Science and Technology', 'Department of Computer Science and Engineering, The Hong Kong University of Science and Technology', 'Thrust of Data Science And Analytics, The Hong Kong University of Science and Technology (Guangzhou)', 'School of Computer Science, South China Normal University', 'Department of Computer Science and Engineering, The Hong Kong University of Science and Technology']"
Adaptive Conformal Prediction Intervals for Invariant Learning,https://doi.org/10.1145/3711896.3736830,"['Shuxin Liang', 'Yihan Xiao', 'Linglong Kong', 'Wenlu Tang']","['Department of Mathematical and Statistical Sciences, University of Alberta', 'College of Biomass Science and Engineering, Sichuan University', 'Department of Mathematical and Statistical Sciences, University of Alberta', 'Department of Mathematical and Statistical Sciences, University of Alberta']"
Addressing and Visualizing Misalignments in Human Task-Solving Trajectories,https://doi.org/10.1145/3711896.3736831,"['Sejin Kim', 'Hosung Lee', 'Sundong Kim']","['GIST', 'KAIST', 'GIST']"
Addressing Correlated Latent Exogenous Variables in Debiased Recommender Systems,https://doi.org/10.1145/3711896.3736832,"['Shuqiang Zhang', 'Yuchao Zhang', 'Jinkun Chen', 'Haochen Sui']","['Dalhousie University', 'Beijing University of Chemical Technology', 'Dalhousie University', 'University of Michigan']"
Advancing Graph Foundation Models: A Data-Centric Perspective,https://doi.org/10.1145/3711896.3736833,"['Yuhan Li', 'Yuyao Wang', 'Jianheng Tang', 'Heng Chang', 'Yuxiang Ren', 'Jia Li']","['HKUST (GZ)', 'HKUST (GZ)', 'HKUST (GZ)', 'Huawei Technologies Co., Ltd.', 'Nanjing University', 'HKUST (GZ)']"
Advancing Molecular Graph-Text Pre-training via Fine-grained Alignment,https://doi.org/10.1145/3711896.3736834,"['Yibo Li', 'Yuan Fang', 'Mengmei Zhang', 'Chuan Shi']","['School of Computer Science, Beijing University of Posts and Telecommunications', 'School of Computing and Information Systems, Singapore Management University', 'China Telecom Bestpay', 'Institute of Computing Technology, Beijing University of Post and Telecommunication']"
Advancing Tool-Augmented Large Language Models via Meta-Verification and Reflection Learning,https://doi.org/10.1145/3711896.3736835,"['Zhiyuan Ma', 'Jiayu Liu', 'Xianzhen Luo', 'Zhenya Huang', 'Qingfu Zhu', 'Wanxiang Che']","['State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China', 'State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China', 'Research Center for Social Computing and Interactive Robotics, Harbin Institute of Techology', 'State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China', 'Research Center for Social Computing and Interactive Robotics, Harbin Institute of Technology', 'Research Center for Social Computing and Interactive Robotics, Harbin Institute of Technology']"
AffinityTune: A Prompt-Tuning Framework for Few-Shot Anomaly Detection on Graphs,https://doi.org/10.1145/3711896.3736836,"['Jingyan Chen', 'Guanghui Zhu', 'Guansong Pang', 'Chunfeng Yuan', 'Yihua Huang']","['School of Computer Science, Nanjing University', 'School of Computer Science, Nanjing University', 'School of Computing and Information Systems, Singapore Management University', 'School of Computer Science, Nanjing University', 'School of Computer Science, Nanjing University']"
