date,time,type,title,url,speaker,end_time,abstract,overview,matched_team,recommendation_reason,focus_area
"Sunday, Nov 30, 2025",11:00,Workshop,NeurIPS 2025 Workshop on Socially Responsible and Trustworthy Foundation Models,https://neurips.cc/virtual/2025/workshop/127834,,18:00,"The Socially Responsible and Trustworthy Foundation Models (ResponsibleFM) Workshop at NeurIPS 2025 Mexico City is envisioned as a vital interdisciplinary forum dedicated to advancing ethical, inclusive, and socially conscious research practices in the rapidly evolving field of foundation models, including language models and multimodal models. As foundation models are tremendously reshaping human communication, decision-making, and societal infrastructures, there is a growing recognition of the profound impacts these systems can have, both positive and negative, on individuals and communities. In particular, previous research has documented a wide range of risks and harms associated with foundation models, including but not limited to bias and discrimination, misinformation propagation, privacy violations, environmental concerns, and unintended social consequences.","Overview: The ResponsibleFM Workshop is an interdisciplinary forum focused on advancing ethical, inclusive, and socially responsible research in foundation models, including language and multimodal models. It aims to address fairness, accountability, transparency, and safety throughout model development and deployment, proactively tackling ethical and social risks. The workshop brings together researchers, practitioners, ethicists, policy-makers, and affected communities to catalyze methods and best practices ensuring foundation model research serves the common good. The event is scheduled to be held in hybrid mode, both virtually and at the Hilton Mexico City Reforma, during NeurIPS 2025. | Research Interests: Defining & Measuring Trustworthiness, Techniques to Enhance Trustworthiness, Deployment & Social Good, Datasets & Benchmarks, Interdisciplinary Perspectives & Governance",,,
"Sunday, Nov 30, 2025",11:00,Workshop,NeurIPS 2025 Workshop on Embodied and Safe-Assured Robotic Systems,https://neurips.cc/virtual/2025/workshop/127833,,18:00,"This workshop focuses on advancing safe and quality-assured embodied robotic systems. Embodied systems—including autonomous robots, self-driving vehicles, robotic arms, and humanoid robots—are increasingly deployed in safety-critical real-world scenarios. Ensuring their trustworthiness—encompassing safety, reliability, and predictable behavior—remains a pressing challenge. Despite notable progress in perception, reasoning, and control, many AI-based robotic systems still operate as “black boxes,” often exhibiting unpredictable behaviors. Failures can emerge from complex sensorimotor interactions, adversarial inputs, or novel environments, leading to safety incidents and diminished user trust.",,温哥华云,温哥华云: 该团队关注于2026年物理或具身AI领域的关键发展。NeurIPS 2025 Workshop强调具身机器人系统的安全性和可靠性，正契合该团队识别战略性增长领域的需求。通过参与，团队可深入了解安全核保证技术，助力关键研究方向的布局。,温哥华云: 具身机器人系统的安全性保障方法; 自动驾驶及自主机器人中的可靠性算法; 传感器和环境交互的复杂性处理; AI系统的可解释性与透明度提升; 应对对抗性输入及未知环境的鲁棒性技术
"Sunday, Nov 30, 2025",11:00,Workshop,NeurIPS2025 Workshop Research Development AI Mexico,https://neurips.cc/virtual/2025/workshop/127832,,18:00,"The Research Development of AI in Mexico: Main Applications workshop seeks to showcase, strengthen, and connect the most impactful developments in Artificial Intelligence (AI) and Data Science emerging from Mexico and the broader Latin American region. Over the past four decades, Mexico has cultivated a robust research community in AI through pioneering contributions in areas such as computational intelligence, autonomous robotics, fuzzy systems, and natural language processing, led by institutions including CIC–IPN, INAOE, UNAM, ITESM, CINVESTAV, and Universidad Veracruzana.Today, the region is undergoing a strategic transformation, shifting from foundational research to the development of applied AI technologies addressing real-world needs in healthcare, education, agriculture, smart cities, cybersecurity, and sustainability. This evolution has been further propelled by increased access to open data, advances in computing infrastructure, and growing collaborations between academia, government, and industry.Despite these advances, Latin America faces distinctive challenges in the development and deployment of AI. These include limited funding, underrepresentation in global AI initiatives, digital inequality, and the need for responsible, inclusive, and culturally relevant AI systems. Additionally, emerging concerns related to AI ethics, algorithmic bias, and regulatory frameworks must be addressed proactively to ensure equitable and trustworthy technology adoption.This workshop aims to create a forum for researchers, students, practitioners, and policymakers to engage in meaningful dialogue about the current landscape and future directions of AI in Mexico and Latin America. By promoting interdisciplinary collaboration, the workshop will highlight impactful case studies, emerging research trajectories, and opportunities for cross-border cooperation, while fostering a shared vision for AI that is ethical, sustainable, and aligned with regional priorities.",,温哥华云,温哥华云: 该Session聚焦拉美地区AI应用和技术发展，强调跨学科合作与实际应用，契合温哥华云对物理或具象AI关键研究领域的战略投资需求。通过参与，团队可探索具象AI在医疗、教育等地面应用的创新潜力。,温哥华云: 具象AI在医疗健康和教育领域的应用; 跨学科合作促进AI技术转化; 负责任且具文化相关性的AI系统设计; 数据开放与基础设施提升助力AI发展; 区域性AI伦理与算法偏见问题
"Sunday, Nov 30, 2025",11:00,Workshop,Vision Language Models: Challenges of Real World Deployment,https://neurips.cc/virtual/2025/workshop/127831,,18:00,"Vision language models (VLMs) have demonstrated remarkable capabilities in integrating visual perception with natural language understanding, powering applications such as multimodal assistants, robotics, autonomous systems, and accessibility tools. However, their real-world deployment faces significant challenges in efficiency, scalability, and reliability. This workshop will bring together researchers and practitioners from academia and industry to highlight cutting-edge research, systems-level optimizations, and evaluation methodologies that are often overlooked yet pivotal for robust real-world integration. Efficiency, robustness, and reliability will be emphasized as core design principles, essential to advancing VLMs from experimental systems to dependable deployed technologies. By convening researchers at the intersection of multimodal learning, efficient inference and training, robustness and uncertainty estimation, and large-scale systems design, the workshop aims to establish concrete pathways toward building VLMs that can operate reliably under practical constraints. We hope this workshop will serve as a venue for exchanging insights on model design, efficiency techniques, and robustness evaluation that bridge the gap between research and real-world systems.","Overview: The VLM4RWD NeurIPS 2025 Workshop focuses on the challenges of deploying Vision Language Models (VLMs) in real-world applications. It aims to bring together researchers and practitioners to discuss cutting-edge research, systems-level optimizations, and evaluation methodologies essential for the efficient, scalable, and reliable deployment of VLMs. The workshop emphasizes the importance of efficiency, robustness, and reliability in advancing VLMs from experimental systems to dependable technologies. | Research Interests: Data pipelines for efficient multimodal learning, Accelerating VLMs inference, Compression and distillation for VLMs deployment, Sparse, modular, and retrieval-augmented VLM architectures, Efficient training for complex reasoning tasks, Robust training and evaluation of VLMs, Benchmarks for deployment-oriented evaluation, Mitigating hallucination and improving multimodal grounding, Agentic VLMs for real-world integration",诺亚,诺亚: 该团队在长序列图文多模态模型演进方面深耕，正对应Session关注的高效、可靠的多模态模型部署需求。参与本Workshop有助于借鉴先进的输入范式优化及推理计算突破方案，提升实际系统适用性。,诺亚: 突破多模态长文本推理计算瓶颈的输入范式创新; 加速VLMs推理与训练效率的系统级优化; 压缩与蒸馏技术以适配部署资源限制; 增强模型鲁棒性与不确定性评估方法; 多模态推理中的错误缓解与多模态对齐
"Monday, Dec 1, 2025",06:00,Workshop,Centering Low-Resource Languages and Cultures in the Age of Large Language Models,https://neurips.cc/virtual/2025/workshop/127830,,15:00,"Large Language Models (LLMs) have transformed NLP research and applications, yet they are still predominantly trained on high-resource, globally dominant languages. This imbalance leads to poor performance and limited applicability for low-resource languages, which are rich in tone, morphology, and cultural meaning. As a result, current AI systems risk reinforcing linguistic inequality, cultural erasure, and lack of accessibility in critical domains like education and healthcare.This workshop aims to reframe language technology by centering low-resource languages, cultures, and epistemologies in the age of LLMs. We seek to bring together researchers, linguists, developers, healthcare professionals, and technologists to share insights and develop strategies for building inclusive, culturally grounded, and linguistically robust language models. The workshop emphasizes collaboration across disciplines and regions to ensure both technical advancement and social relevance.Key areas of focus include developing LLM architectures tailored to low-resource linguistic features, ethical and community-centered dataset collection, and multilingual benchmarks designed specifically for underrepresented languages. We also highlight the importance of healthcare and medical machine translation to support equitable access to information and improve public health outcomes. Ultimately, this workshop aims to advance responsible AI innovation that empowers low-resource language communities and shapes a more inclusive future for global language technologies.","Overview: The CLRLC-LLMs Workshop at NeurIPS 2025 focuses on the role of Large Language Models (LLMs) in promoting multilingual and culturally inclusive AI. It addresses the underrepresentation of low-resource languages and cultures in AI research and development. The workshop aims to reframe language technology discussions by centering low-resource languages and cultures in AI innovation. It brings together researchers, linguists, developers, and technologists to share insights, challenges, and strategies for developing LLMs that support linguistic diversity and cultural identity, particularly in Africa and parts of Asia. The workshop promotes global collaboration, scalable data creation, model alignment, and ethical evaluation of LLMs, inspiring interdisciplinary research across linguistics, computer science, and engineering. | Research Interests: LLMs for low-resource languages, Culturally grounded NLP and multilingual evaluation, Dataset creation, curation, and benchmarks for African, Indigenous, and marginalized languages, Cross-linguistic transfer and model adaptation, Ethical, social, and policy dimensions of language technologies, Community-based and participatory AI approaches, Speech, ASR, and translation in low-resource settings, Human–AI interaction for linguistic and cultural inclusivity, Cognitive or sociolinguistic perspectives on AI and language, Healthcare and Biomedical Machine Translation for Low-Resource Languages",,,
"Monday, Dec 1, 2025",06:00,Workshop,NORA: The First Workshop on Knowledge Graphs & Agentic Systems Interplay,https://neurips.cc/virtual/2025/workshop/127827,,15:00,"Agents have experienced significant growth in recent years, largely due to the rapid technological advancements of Large Language Models (LLMs). Although these agents benefit from LLMs' advanced generation proficiency, they still suffer from catastrophic forgetting and a limited context window size compared to the agents' needs in terms of contextual information.  Knowledge Graphs (KGs) are a powerful paradigm for structuring and managing connected pieces of information while unlocking deeper insights than traditional methods. Their value is immense for tasks that require context, integration, and reasoning. However, this power comes at the cost of significant upfront and ongoing investment in construction, curation, and specialized expertise.   The first version of this workshop aims at analyzing and discussing emerging and novel practices, ongoing research and validated or deployed innovative solutions that showcase the growing synergy between LLMs agents and KGs.","Overview: The NORA 2025 workshop focuses on the interplay between Knowledge Graphs (KGs) and agentic systems, particularly those enhanced by Large Language Models (LLMs). The workshop aims to explore emerging practices, research efforts, and innovative solutions that demonstrate the synergy between LLM agents and KGs. It addresses the challenges faced by agents, such as catastrophic forgetting and limited context window size, and highlights the potential of KGs in structuring and managing information for improved reasoning and integration. | Research Interests: Agentic and Knowledgeable Systems with Small Language Models, Agentic Information Extraction and Retrieval, Agentic KG Construction & Enrichment, Agents for Complex Reasoning over KGs, Agents and KGs for private and proactive personal assistants & Personalisation, Augmenting Agents with External Knowledge, Collaborative Agents for Knowledge Computing and Serving, Context Engineering enhanced by KGs, Efficient Reinforcement Learning for better performance, Graph Retrieval Augmented Generation in Agentic systems, KGs serving agents’ memories: episodic, semantic, and procedural, Multi-Lingual & Multi-modal integrations, On-Device or Hybrid (Device-Cloud) systems combining Agents and KGs, Personalisation via Agents and KGs, Personas and digital twins enabled by Agents and KGs, Theoretical and experimental analysis of close and open Domain applications scenarios",,,
"Monday, Dec 1, 2025",06:00,Workshop,7th International Workshop on Large Scale Holistic Video Understanding: Toward Video Foundation Models,https://neurips.cc/virtual/2025/workshop/127828,,15:00,"This workshop aims to advance the field of video understanding by fostering discussions around holistic and generalist video foundation models. Building upon the Holistic Video Understanding (HVU) initiative and dataset introduced in 2019, we have successfully organized eight HVU workshops and tutorials at top-tier venues such as CVPR and ICCV, uniting researchers, practitioners, and students from around the world. These efforts have played a central role in moving the community beyond narrow action recognition tasks toward multi-faceted, semantic, and generalist video understanding.With the emergence of large-scale foundation models and video large language models (Video-LLMs), the landscape of video understanding is rapidly evolving. These models enable unified reasoning across spatial, temporal, and multimodal dimensions, yet introduce new challenges in scalability, efficiency, interpretability, and responsible deployment.The HVU Workshop 2025 will provide a platform to explore these frontiers, discussing topics such as multimodal representation learning, long-context reasoning, evaluation of general-purpose video systems, efficient adaptation and scaling laws, and the ethical and societal implications of video AI. Our goal is to bring together a diverse and inclusive community to define the next chapter of holistic, generalist, and responsible video understanding.",,诺亚,诺亚: 本Session聚焦长序列多模态视频理解，与团队在长序列图文多模态模型推理计算瓶颈的挑战高度契合，能助力突破输入范式瓶颈，提升多模态推理能力。,诺亚: 多模态表示学习方法; 长序列视频与文本的联合建模; 视频与语言模型的扩展与适应技术; 多模态大规模基础模型的高效推理; 视频AI的伦理与责任问题
"Monday, Dec 1, 2025",06:00,Workshop,First Workshop on LLM Persona Modeling,https://neurips.cc/virtual/2025/workshop/127829,,15:00,"Large language models (LLMs) are increasingly used to simulate human-like personas for applications in research, education, healthcare, and interactive AI systems. While such persona modeling creates opportunities for interdisciplinary innovation, it raises challenges around authenticity, consistency, bias, and ethical deployment. This workshop brings together perspectives from AI, psychology, cognitive science, and human–computer interaction to advance robust methods, standardized evaluation frameworks, and responsible practices for persona modeling in LLMs. Through invited talks, panels, posters, and discussions, the event will chart a roadmap for interdisciplinary collaboration and future research in this emerging area.","Overview: The PersonaLLM workshop, part of NeurIPS 2025, focuses on the modeling of personas using large language models (LLMs). It aims to explore the creation of human-like personas with consistent traits and behaviors, leveraging LLMs' adaptability across diverse contexts. The workshop seeks to provide an interdisciplinary forum for discussing the conceptualization, evaluation, and ethical implications of LLM persona modeling, with applications in marketing, social science, product development, and healthcare. | Research Interests: LLM persona modeling, Instruction-following capabilities of LLMs, Personification and human-like personas, Interdisciplinary approaches in AI, psychology, and cognitive science, Evaluation methods for persona consistency and effectiveness, Social and ethical implications of anthropomorphism in LLMs, Technical innovations in LLMs, Real-world applications of LLM personas",,,
"Tuesday, Dec 2, 2025",09:30,Tutorial,"Efficient Transformers: State of the art in pruning, sparse attention, and transformer funneling",https://neurips.cc/virtual/2025/128790,,12:00,"""Transformer architectures consume the lionshare of computational budgets associated with today’s most powerful language and vision models, making research into greater computational efficiency a hot and essential direction. Our proposed tutorial surveys the bleeding edge of three complementary research threads that together comprise a significant part of the current industrial toolkit for achieving computational efficiency in Transformers: (1) pruning, the structured or unstructured removal of weights, layers and heads; (2) sparse attention & routing, including block, sliding-window, locality-sensitive hashing; and (3) funneling, which pools intermediate representations to shorten sequences through depth. We will then feature an expert industrial and academic panel of speakers from Caltech, MIT, Anthropic, Google Deepmind, and Microsoft, hearing about the latest trends seen in top industrial labs. Attendees will leave with actionable recipes for building sub-10 B-parameter models that match or exceed dense baselines on language, vision and multi-modal benchmarks.The tutorial targets researchers and practitioners who build or deploy Transformer models and assumes familiarity with basic deep-learning concepts but not with any specific efficiency method. All slides and publication materials will be released under a permissive license.""",,,,
"Tuesday, Dec 2, 2025",09:30,Tutorial,"Geospatial Foundation Models: Overview, Application and Benchmarking",https://neurips.cc/virtual/2025/128793,,12:00,"Geospatial foundation models (GeoFMs) are a class of large-scale deep learning models, typically based on the transformer architecture, that are pre-trained on vast, diverse datasets of Earth Observation data to learn a general, transferable understanding of the Earth’s surface. These models help address long-standing challenges in Earth Observation by dramatically reducing the need for manually labeled data, handling vast and diverse data streams (e.g., optical, SAR, multispectral, LiDAR), and enabling robust performance across time, space, and sensor types. In this tutorial, we will give an overview of the recent advancements in GeoFMs, highlighting the main challenges in developing these models and differences from foundation models developed for other domains. We will also show practical examples of fine-tuning and inferencing GeoFMs for different downstream tasks using the TerraTorch open-source framework, which facilitates the use to publicly available GeoFMs such as SatMAE, Prithvi-EO, DOFA, Galileo and TerraMind. Finally, we will introduce best practices for systematic and reproducible benchmarking of GeoFMs using the TerraTorch Iterate plug-in and its integration with GEO-Bench.",,,,
