bu_name,session_title,session_type,session_date,session_time,cosine_similarity,recommendation_reason,focus_areas
CBG,  → PlayerOne: Egocentric World Simulator,Oral Paper,FRI 5 DEC,10:00-11:00,0.51195264,该团队在运动分割、单目4D重建与轨迹控制方面的挑战，与PlayerOne的4D场景-视频联合重建、部件解耦运动注入及长视频一致性框架高度契合，能实现对齐质量与生成稳定性的显著提升。,4D场景-视频联合重建：将单目输入转化为可解析的4D场景并与视频帧保持一致。; 部件解耦运动注入：实现对人体/物体的部件级别运动分离与可控重现。; Egocentric-Exocentric数据对齐与自监督：融合正/反向视角数据提升轨迹估计与动作一致性。; 长时序一致性建模：设计跨帧的一致性损失与评估，确保长视频的场景和动作稳定。; 大规模预训练迁移：在egocentric文本-视频数据上预训练，提升单目4D重建和分割的泛化能力。
CBG,  → BEDLAM2.0: Synthetic humans and cameras in motion,Oral Paper,FRI 5 DEC,10:00-11:00,0.513305,BEDLAM2.0提供世界坐标下的3D人体与相机运动真值，能直接支撑团队在单目视频的3D/4D重建、分割与长视频一致性研究，提升鲁棒性与数据驱动效果。,将 BEDLAM2.0 的 ground-truth 世界坐标人体姿态与相机轨迹用于监督自监督/弱监督的单目3D/4D重建模型，提升跨域鲁棒性。; 研究单目视频中运动物体分割与3D人体分离的联合框架，利用 BEDLAM2.0 的多样化体型、衣着和环境以提升泛化。; 设计点云/姿态稀疏重建的高效算法，结合已知相机轨迹实现世界坐标下的位姿估计与运动重建。; 长视频一致性：引入时间约束、轨迹平滑与全局优化，抑制跨帧漂移，提升长期稳定性。; 基于 synthetic data 的领域自适应与数据增强策略，提升在真实视频中的表现。
DCN,AI and ML for Next-Generation Wireless Communications and Networking (AI4NextG @ NeurIPS’25),Workshop,SAT 6 DEC,8 a.m.,0.5346949,本Session聚焦NextG网络中的AI原生设计，团队关注数据中心AI训练/推理的网络协同与跨DC流量优化，便于对接大模型驱动的网络管理与资源调度。,数据中心与跨DC网络的AI原生协同设计：将计算/存储与网络共同优化，面向AI训练/推理的带宽、延迟与可靠性目标。; 基于强化学习/在线学习的动态资源调度与流量工程：在数据中心与边缘/网络互连环境实现自适应资源分配。; 大模型与生成式AI在网络运维中的应用：网络自优化、自动规划、故障检测与解释性分析。; 高维稀疏信号下的数据高效学习与跨域迁移：跨数据中心与无线边缘场景的样本效率与鲁棒性。; 硬件-软件协同设计与低功耗AI加速：为数据中心和NextG网络提供高效、实时的AI推理与控制。
海思,Ling 2.0 and Ling-1T: Scaling Knowledge-Enhanced Large Language Models for Reasoning and Efficiency,Expo Talk Panel,TUE 2 DEC,4 p.m.,0.5292859,该团队专注大模型与扩散模型的加速，痛点包括低延迟对话、多模态融合与长上下文推理。Session 的稀疏MoE、混合注意力与高效训练体系正契合，具备推动跨域推理与知识增强落地的潜力。,千亿/万亿参数模型的高效训练系统、稀疏MoE与1F1B调度、FP8流水线; Ling Scaling Law 在跨域推理中的应用与评估; 稀疏注意力+分块缓存实现线性/近线性长上下文推理; 多模态统一特征空间与快速条件生成（文本、图像、草图、深度图）; RL对齐与知识增强在对话与推理中的落地策略
海思,"  → Gated Attention for Large Language Models: Non-linearity, Sparsity, and Attention-Sink-Free",Oral Paper,THU 4 DEC,3:30-4:30,0.54289615,本会话在缩放点积注意后引入头部门控，提升非线性、稀疏化与长上下文推理能力，并提供MoE与稠密模型的实证对比。对海思在降低推理延迟、实现线性/次线性复杂度方面具有直接技术连接点，且可复用代码资源。,Gate-after-SDPA 的实验对比：不同门控位置、不同头数对性能与训练/推理成本的影响; 研究 softmax 低秩映射中的非线性引入及其对模型能力与稳定性的作用; 实现并评估基于查询的稀疏门控分数，用于调制 SDPA 输出及其对长上下文的影响; 验证稀疏门控对缓解 attention sink、避免激活爆炸以及提升长文本推理的效果; 面向低延迟推理的落地方案：门控注意与分块缓存、快速注意实现的集成与成本优化
海思,  → Large Language Diffusion Models,Oral Paper,FRI 5 DEC,10:00-11:00,0.6646968,本组聚焦大语言模型与扩散模型的加速，Session展示了扩散式语言建模在对话与推理中的潜力及与自回归的对比，能对接团队的低延迟、跨模态融合与长上下文研究需求。,低延迟对话推理的扩散模型优化：采样速度、蒸馏/量化等技术路径; 多模态条件生成的统一特征空间与高效融合策略：文本、图像、草图、深度图的对齐与跨模态注意力设计; 长上下文的高效注意力实现：稀疏注意力、分块缓存与线性/次线性复杂度; SFT后对话指令遵循性提升：在扩散LLMs中的对话管理与上下文保持评估
海思,  → Memory Mosaics at scale,Oral Paper,FRI 5 DEC,10:00-11:00,0.5563355,该团队的低延迟推理、跨模态融合与长上下文处理挑战，与Memory Mosaics在大规模知识存储与快速新任务适应方面的优势高度契合，具备明显协同潜力。,将 Memory Mosaics v2 作为外部记忆模块接入大语言模型架构，评估对长上下文与新任务的推理效率提升。; 研究多模态记忆对齐与跨模态特征空间统一方法，以降低多模态条件生成的延迟。; 探索基于记忆模组的检索-增强推理与稀疏注意力结合策略，达到线性或次线性复杂度的长上下文处理。; 评估和对比数据效率：在一个 trillion token 规模的训练下，Memory Mosaics 与 Transformer 比较的成本、可扩展性、知识存储比。; 硬件友好实现与推理加速：缓存策略、分块处理、并行执行与加速器适配。
海思,  → Boosting Knowledge Utilization in Multimodal Large Language Models via Adaptive Logits Fusion and Attention Reallocation,Oral Paper,FRI 5 DEC,10:00-11:00,0.613363,结合Session中的知识检索增强和输出解耦思路，与海思在低延迟多模态统一特征与长上下文注意力优化目标高度契合，具可操作的对接点。,无训练即插即用的 ALFAR 风格方法在现有大语言模型与多模态工作流中的落地方案; 动态注意力重分配机制的实现与评估，按 query-context 相关性映射跨模态注意力权重; 输出层知识融合：将参数知识与上下文知识解耦并对输出 logits 加权，缓解知识冲突; 多模态特征统一空间的设计与高效对齐，覆盖文本、图像、草图、深度图等模态; 面向长上下文的稀疏注意力与分块缓存策略，追求线性或次线性复杂度并评估时延影响
海思,  → HyperET: Efficient Training in Hyperbolic Space for Multi-modal Large Language Models,Oral Paper,FRI 5 DEC,10:00-11:00,0.5497438,HyperET通过超球面实现跨模态多粒度对齐与高效训练，参数更少、成本更低，契合海思对低延迟与统一特征空间的目标，具有明确技术对接点。,在超球面中的跨模态多粒度对齐：动态半径调整和Mobius乘法的实现与评估; 参数高效适配：采用对角、块对角、带状矩阵的可学习映射，用于对齐与微调; 多模态条件的统一表征：图像、草图、深度等模态的层次化对齐损失设计; 与低延迟推理的协同：将超球面对齐作为前端编码，结合缓存/分块策略降低延迟; 长上下文与稀疏注意力的协同研究：探索超球面对齐与稀疏注意力的集成以实现线性/次线性复杂度
海思,  → KVzip: Query-Agnostic KV Cache Compression with Context Reconstruction,Oral Paper,FRI 5 DEC,3:30-4:30,0.55498505,该团队专注大模型加速与多模态推理，KVzip 的跨查询缓存压缩与上下文重建，可显著降低长上下文下的缓存与解码延迟，且具扩展到多模态注意力与对话一致性的潜力。,扩展跨查询缓存到多模态跨注意力，建立文本/图像等模态的统一 KV 表征和缓存策略; 将上下文重建重要性评估与稀疏/分块注意力结合，实现线性或次线性复杂度的缓存剔除; 将 KV 缓存压缩/剔除概念应用于扩散模型的跨注意力以加速条件生成; 与 FlashAttention 等系统结合，优化大上下文（>100k）场景下的解码延迟和内存带宽; 在 LLaMA3.1、Qwen2.5、Gemma3 上进行端到端评估，关注对话一致性、回答质量与检索能力
