bu_name,session_title,session_type,session_date,session_time,base_cosine,rel,tech_overlap,novelty,actionability,confidence,final_score,scoring_reason,recommendation_reason,focus_areas
存储,  → KVzip: Query-Agnostic KV Cache Compression with Context Reconstruction,Oral Paper,FRI 5 DEC,3:30-4:30,0.5578607320785522,0.8,0.7,0.75,0.7,0.9,0.7124999999999999,"The session addresses KV cache compression and eviction, key to multi-model inference and latency-sensitive workloads in the BU. It aligns with cache management challenges, offers novel techniques (query-agnostic eviction), and feasible strategies applicable to BU storage and memory tiering concerns.",KVzip有效压缩KV缓存，降低内存占用和解码延迟，契合存储BU对动态内存管理和低延迟访问的需求。其重构驱动的缓存剔除对多层存储和延迟敏感场,KV缓存压缩; 上下文重构技术; 低延迟推理; 动态缓存管理; 多级存储调度
存储,ML for Systems,Workshop,SAT 6 DEC,8 a.m.,0.5494087934494019,0.8,0.7,0.75,0.65,0.9,0.7077499999999999,"The session focuses on ML applied to systems including memory management and scheduling relevant to AI training/inference storage challenges. While not solely focused on storage, it offers substantial technical and methodological overlap and promising novel ideas with actionable insights.",存储业务面临复杂异构存储层次和动态访问模式，ML for Systems的主题正好聚焦用机器学习优化存储层的调度、预取与缓存策略，特别是LL,异构存储资源调度; 动态缓存管理; 大规模训练优化; 低延迟存储访问; LLM系统调优
存储,The First Workshop on Efficient Reasoning,Workshop,SAT 6 DEC,8 a.m.,0.6143486499786377,0.7,0.6,0.7,0.6,0.9,0.62225,"The session focuses on efficient reasoning models with latency, throughput, and memory constraints, directly related to storage challenges in AI workloads. Techniques like dynamic KV-cache placement overlap, offering actionable insights, though the session is broader, not purely storage-focused.",存储BU面临高吞吐量、多层级存储管理和低延迟需求，正好契合高效推理对动态缓存和异构存储调度的挑战，能推动训练和推理效率提升。,动态KV缓存管理; 多层存储层次调度; 高吞吐量数据访问; 低延迟存储策略; 零拷贝数据传输
存储,Disaggregated LLM Serving on AI Accelerators,Expo Demonstration,TUE 2 DEC,noon,0.7028138041496277,0.7,0.6,0.6,0.5,0.8,0.5715,"Session focuses on disaggregated LLM serving and memory-compute resource mapping overlapping BU's memory tier challenges. However, it targets AI accelerators and LLM throughput rather than broader storage tiers and IO patterns, limiting matching depth and actionable insights for storage BU.",该Session展示了对LLM推理两个阶段的分离优化，精准匹配异构存储与计算资源需求，提升了响应速度与吞吐量，契合存储层多样化负载的调度与资,异构存储层级管理; 分阶段资源优化策略; 延迟敏感调度; 高吞吐率处理; 模型推理性能提升
CBG,What Makes a Good Video: Next Practices in Video Generation and Evaluation,Workshop,SAT 6 DEC,8 a.m.,0.5287675857543945,0.9,0.7,0.85,0.8,0.9,0.7742499999999999,"The session addresses video generation and evaluation, closely aligned with CBG's goals in 3D-aware video synthesis and video quality metrics. Techniques discussed likely overlap with some, but not all, of CBG's advanced reconstruction and SLAM/NeRF-based methods. Actionable insights expected are substantial.",本场workshop深挖视频生成的评估框架，精准匹配CBG视频合成中对高质量、多维度时序一致性及物理几何约束的需求，有助提升3D视频生成与评,视频生成评估方法; 3D场景理解; 时序一致性技术; 物理几何约束; 视频质量基准
CBG,Structured Probabilistic Inference and Generative Modeling,Workshop,SAT 6 DEC,8 a.m.,0.43698444962501526,0.85,0.75,0.8,0.7,0.9,0.75525,"The session covers structured probabilistic inference and generative modeling relevant to CBG's 3D AIGC challenges, including uncertainty quantification and temporal consistency. Techniques like probabilistic models and generative methods align well, offering novel insights and applicable methods for CBG's goals.",CBG 需要解决复杂视频的运动分割和单目3D重建中的尺度歧义，Session中关于结构化概率推断和生成建模的方法对提高三维重建的时域一致性和,动态场景理解; 运动分割技术; 单目3D/4D重建; 时域一致性保障; 不确定性量化
CBG,  → PlayerOne: Egocentric World Simulator,Oral Paper,FRI 5 DEC,10:00-11:00,0.5993243455886841,0.8,0.75,0.85,0.7,0.9,0.738625,"The session addresses 4D scene modeling, egocentric video generation, and motion control—closely aligned with CBG's needs for dynamic 3D understanding, temporal consistency, and camera-conditioned video synthesis. Novel egocentric simulation methods offer valuable insights with feasible application potential.",本Session展示了精准的肢体动作控制与场景一致性建模，契合CBG在动态场景理解及3D/4D重建上的需求，助力长时序视频生成与多视角一致性,肢体动作精准控制; 4D场景一致性建模; 长时序视频生成; 多视角一致性; 动静态场景理解
CBG,"NeurIPS 2025 Workshop on Space in Vision, Language, and Embodied AI",Workshop,SUN 7 DEC,8 a.m.,0.46936750411987305,0.8,0.7,0.75,0.7,0.9,0.7124999999999999,"Workshop focuses on spatial representations across vision, NLP, robotics, matching BU's 3D reasoning and motion segmentation interests. Overlapping methods like neural/spatial grounding suggest useful insights. Potential for actionable cross-disciplinary techniques, though broad scope limits precise fit.",CBG的3D AIGC需要把握空间理解与多模态应用，这场会议正聚焦空间表征和跨模态融合，能助力提升实时运动分割和3D重建的精度与连贯性。,空间表征基础; 多模态空间定位; 三维运动分割; 单目三维重建; 空间推理评测
CBG,Embodied World Models for Decision Making,Workshop,SAT 6 DEC,8 a.m.,0.4834243655204773,0.8,0.7,0.75,0.65,0.85,0.6891249999999999,"The session focuses on embodied world models, decision-making, and interacting agents, related to CBG's 3D/4D reconstruction and video synthesis goals. Techniques like generative modeling and learned models overlap. Practical actionable insights might be less direct but relevant for model improvement and interaction components.",CBG需要解决多视角下的动态场景理解与稳定的3D重建，本场workshop聚焦于结合模拟与物理世界的决策模型，正好助力提升动态重建及动作预测,模型驱动强化学习; 模拟与真实物理对齐; 动态场景理解; 长时序规划; 交互式三维生成
CBG,  → BEDLAM2.0: Synthetic humans and cameras in motion,Oral Paper,FRI 5 DEC,10:00-11:00,0.5884688496589661,0.8,0.7,0.75,0.6,0.85,0.6845,"Session focuses on 3D human motion in dynamic scenes with camera motion, directly relevant to CBG's 3D AIGC challenges involving dynamic scene understanding and camera-aware reconstruction. The new dataset may aid robustness and pose estimation, though full pipeline aspects like video generation have less coverage.",这场报告的数据集更新显著提升了三维人体动作和相机运动的真实度与多样性，能有效支持我们在动态场景中精准运动分割和尺度消歧的需求，提高三维重建的,三维人体动作估计; 相机运动追踪; 尺度消歧与姿态恢复; 多样化视频数据集; 时序一致性提升
