title,authors,time/date,abstract
The 4th DataCV Workshop and Challenge,"Fatemeh Saleh, Liang Zheng, Qiang Qiu, José Lezama, Xin Zhao, Qiuhong Ke, Manmohan Chandraker, Xiaoxiao Sun, Yue Yao, Kevin W. Bowyer, Haiyu Wu",,"The 4th DataCV Workshop focuses on advancing data-centric perspectives in computer vision, shifting attention from algorithm-centric research to the analysis and understanding of vision datasets. We aim to explore dataset-level properties, representations, and similarities, as well as challenges in bias, fairness, and generalization. Topics include evaluating vision-language models, improving dataset quality through simulation, and reducing reliance on labeled data. The workshop encourages research on how dataset insights can guide model development, performance prediction, and ethical considerations. By fostering discussion and innovation in dataset analysis, DataCV promotes more robust, generalizable, and responsible vision systems."
Binocular Egocentric-360 Multi-modal Scene Understanding in the Wild,"Jianbo Jiao, Shangzhe Wu, Dylan Campbell, Yunchao Wei, Lu Qi, Yasmine Mellah, Aleš Leonardis, Chenyuan Qu, Han Hu, Qiming Huang, Hao Chen",,"This workshop mainly looks at multi-modal scene understanding and perception in a human-like manner. Specifically, we will focus on binocular/stereo egocentric and 360° panoramic perspectives, which measure both first-person views and third-person panoptic views, mimicking a human in the scene, by combining with multi‑modal cues such as spatial audio, textual descriptions, and geo‑metadata. This workshop will cover but not be limited to the following topics: Embodied 360° scene understanding & egocentric visual reasoning;     Multi-modal scene understanding; Stereo Vision; Open‑world learning & domain adaptation."
3rd Workshop on Computer Vision for Automated Medical Diagnosis,"Fuying Wang, Sheng Liu, Qingyue Wei, Yi Lin, Lequan Yu, Yuyin Zhou, Yuzhe Yang, Angelica Aviles-Rivero, Hao Chen, Tingying Peng, Yifan Peng, Atlas Wang",,"The striding advances of computer vision techniques are revolutionizing many long-standing automatic medical diagnosis tasks. Emerging trends—such as Large Language Models (LLMs), Foundation Models (FMs), advanced learning paradigms (e.g., un-/semi-/self-supervised learning), and considerations of fairness and generalization—remain underexplored for secure and reliable automated medical diagnosis. Distinctly, this workshop emphasizes integrating insights from clinicians and radiologists alongside technical discussions to better advance the field."
Workshop on Benchmarking Multi-Target Tracking: Towards Spatiotemporal Action Grounding in Videos,"Tanveer Hannan, Shuaicong Wu, Mark Weber, Suprosanna Shit, Rajat Koner, Jindong Gu, Aljosa Osep, Prof. Dr. Thomas Seidl, Prof. Dr. Laura Leal-Taixé",,"The 8th BMTT Workshop focuses on action-aware multi-object tracking, aiming to unify temporal action localization and object tracking through natural language queries. While existing benchmarks often address these tasks separately, this workshop presents unified challenges to evaluate both capabilities. Participants are encouraged to develop models that can understand complex actions, follow detailed language instructions, and track multiple objects across time. The workshop aims to close the gap between vision and language, advancing multimodal video understanding and supporting research on scalable, real-world systems capable of fine-grained, action-driven reasoning in dynamic scenes."
Authenticity & Provenance in the age of Generative AI,"Shruti Agarwal, Sarah Barrington, Maty Bohacek, Cristian Canton, Laura Cassani, Hany Farid, Luisa Verdoliva",,"Generative AI allows for the rapid and automatic generation of highly realistic audio, images, and videos (so-called deepfakes). The field of media forensics and digital provenance focus on detection and authentication of this content, thus helping in mitigating the potential risks. This workshop aims at bringing a heterogeneous group of specialists from academia, industry, and civil society together to discuss emerging threats, technologies, and mitigation strategies. The workshop will focus on the application of tools from computer vision, pattern recognition, and machine learning, as well as the development of novel approaches for verifying the integrity and tracing the origins of digital media, the creation of novel datasets for evaluation, large-scale evaluations of existing forensic techniques, and ethical/policy considerations around generative AI and forensic techniques."
2nd Workshop on Explainable Computer Vision: Quo Vadis?,"Sukrut Rao, Robin Hesse, Quentin Bouniot, Sweta Mahajan, Amin Parchami-Araghi, Jayneel Parekh, Simone Schaub-Meyer, Florence d'Alché-Buc, Zeynep Akata, Stefan Roth, Bernt Schiele",,"This workshop aims to examine the state of the field of explainable AI (XAI) for computer vision, with the following goals: (1) discussion and dissemination of ideas at the cutting-edge of XAI research, and (2) a critical introspection on the challenges faced by the community and the way forward. The workshop includes papers, talks on recent advances, and a formal debate among invited speakers on the field’s core issues. We hope to encourage brainstorming in the community to bridge the gap from theory to practice and address challenges brought forth by the rise of large-scale foundation models, such as fundamentally rethinking what one wants from an explanation, obtaining it, performing appropriate evaluations, complying with regulatory requirements, and maintaining model performance."
Systematic Trust in AI Models: Ensuring Fairness; Reliability; Explainability; and Accountability in Machine Learning Frameworks,"Arun George Zachariah, Michael Boone, Ryo Hachiuma, Nikki Pope, Shivika Prasanna, Khulud Alsultan",,"The STREAM Workshop aims to bring together researchers and practitioners working at the intersection of systems design and trustworthy AI. As AI technologies are increasingly deployed in critical domains such as healthcare, finance, and mobility, STREAM focuses on system-level approaches to embedding trustworthiness across the full pipeline, from data collection and architecture design to training, deployment, and evaluation."
Camera Calibration and Pose Estimation,"Zuzana Kukelova, Gabrielle Flood, Viktor Larsson, Torsten Sattler, Akihiro Sugimoto",,"This workshop focuses on the closely related problems of camera calibration and pose estimation. These are essential for many advanced 3D computer vision methods, including NeRFs, 3D Gaussian splatting, and scene understanding. The quality of these estimates greatly affects performance, yet many researchers treat them as black boxes. This workshop offers an opportunity for those using calibration and pose algorithms to learn about the latest methods and open challenges. It also provides a forum for researchers working on traditional and learning-based solutions to share ideas, improve methods, and expand the possibilities of 3D vision through better calibration and pose estimation."
The 1st International Workshop and Challenge on Disentangled Representation Learning for Real-world Applications,"Xin Jin, Qiuyu Chen, Yue Song, Xihui Liu, Shuai Yang, Tao Yang, Ziqiang Li, Jianguo Huang, Yuntao Wei, Ba'ao Xie, Nicu Sebe, Wenjun (Kevin) Zeng",,"Disentangled Representation Learning shows promise for enhancing AI's fundamental understanding of the world, potentially addressing hallucination issues in language models and improving controllability in generative systems. Despite significant academic interest, DRL research remains confined to synthetic scenarios due to a lack of realistic benchmarks and unified evaluation metrics.
DRL4Real Workshop aims to bridge this gap by introducing novel, realistic datasets and comprehensive benchmarks for evaluating DRL methods in practical applications. We will focus on key areas including controllable generation and autonomous driving, exploring how DRL can advance model robustness, interpretability, and generalization capabilities."
Affective & Behavior Analysis in-the-wild,"Dimitrios Kollias, Stefanos Zafeiriou, Irene Kotsia, Greg Slabaugh",,"The ABAW Workshop is a premier platform highlighting the latest advancements in multimodal analysis, generation, modeling, and understanding of human behavior in unconstrained environments. It emphasizes cutting-edge systems that integrate facial expressions, body movements, gestures, natural language, voice to enable impactful research and practical applications. The workshop fosters interdisciplinary collaboration across fields (e.g. computer vision, AI, HCI, psychology, robotics, ethics & healthcare) and is a vital forum for building equitable, generalizable & human-centered AI systems. Finally, the Workshop also includes 3 challenges (Valence-Arousal Estimation, Compound Expression Recognition and Fine-Grained Violence Detection)."
