session_code,title,session_type,url,speakers,abstract,topics,nvidia_technologies
CWES81440,Leverage Acceleration for AI and HPC in Algorithmic Trading [CWES81440],Connect With the Experts,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-cwes81440/,"Yuliana Zamora (Sr. Developer Relations Manager, NVIDIA); Pooja Aniker (Solutions Architect, NVIDIA); Mark Bennett (Sr. Solutions Architect, NVIDIA); Derek Beattie (Solutions Architect, NVIDIA); Siddharth Samsi (Sr. Solutions Architect, NVIDIA); Manasa Murthy (Digital Marketing Organization Manager, NVIDIA); Peihan Huo (Solution Architect, NVIDIA); Bogdan Vioreanu (Sr. Solutions Architect, NVIDIA); Roman Yokunda Enzmann (Solutions Architect, NVIDIA); Lavinia Ghita (Solutions Architect, NVIDIA); Martin Marciniszyn Mehringer (Sr. AI Developer Technology Manager, NVIDIA); Yongming Shi (Solution Architect Manager, NVIDIA); Dhruv Desai (Sr. Solutions Architect, NVIDIA)","Join this interactive session with NVIDIA experts to discover how the convergence of artificial intelligence and high performance computing (HPC) is reshaping algorithmic trading. As trading strategies grow in complexity, the need for high-throughput processing and advanced modeling capabilities becomes critical. Speak with our experts about the latest methods to leverage acceleration for data-intensive tasks, from training sophisticated AI models to running massive-scale simulations.",Financial Services,"CUDA, Grace, Mission Control, NCCL, NVLink, RAPIDS, TensorRT, Triton, cuBLAS, cuDF, cuML"
CWES81447,Unleashing AI at Scale: Meet the NVIDIA Networking Experts [CWES81447],Connect With the Experts,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-cwes81447/,"Taylor Allison (Sr. Networking Product Marketing Manager, NVIDIA); Scot Schultz (Sr. Director, HPC and Technical Computing, NVIDIA); David Iles (Sr. Director, Ethernet Switching, NVIDIA); Moshe Lavi (Senior Director of Product Management, NVIDIA); Avi Alkobi (Sr. Director of Business Development and Technology Alliances, NVIDIA)","Join us for an interactive session and engage directly with NVIDIA's networking experts. We'll cover our full-stack networking platform, including NVLINK, Spectrum-X Ethernet, InfiniBand, and BlueField DPUs, and networking software like Cumulus. Learn how these technologies accelerate every phase of AI, from training to inference, and how tools like NVIDIA AIR can help you validate your infrastructure. This session is designed to answer your specific questions and provide the strategic insights you need to unleash your AI at scale.",All Industries,"Bluefield, NCCL, NVLink"
CWES81458,Everything You Wanted to Know About AI Factories! [CWES81458],Connect With the Experts,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-cwes81458/,"Yang Yang (Solution Architect, NVIDIA); Scott Ellis (Sr. Director, Solutions Architecture and Engineering, NVIDIA); Jeff Weiss (Sr. Director, NVIDIA); Robert Magno (Manager Solution Architects, NVIDIA); John Fragalla (Principal Architect, NVIDIA); Hans Mortensen (Grace Product Specialist – NVIDIA Solutions Architecture, NVIDIA); Paul Bryan (DGX Solution Architect, NVIDIA)","Learn what goes into an AI Factory. Hardware, software, networking, storage ... nothing is off limits. Want to understand more about how RTX PRO can be used with Spectrum-X networking and Run:ai? Have questions about how NVIDIA Mission Control helps GB300 systems run jobs at peak efficiency? This is the place to be.",All Industries,"Bluefield, DGX, Grace, Mission Control, NVLink"
CWES81461,Distributed Inference at Scale Using Dynamo [CWES81461],Connect With the Experts,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-cwes81461/,"Akshatha Kamath (Product Manager, NVIDIA); Neelay Shah (Principal Software Architect, NVIDIA); Vikram Sharma Mailthody (Sr. Research Scientist, NVIDIA); Harry Kim (Principal Product Manager, NVIDIA); Kyle Kranen (Team Lead/Manager - Deep Learning Algorithms, NVIDIA); Anish Maddipoti (Product Manager, NVIDIA); Amr Elmeleegy (Product Marketing Manager, NVIDIA)","NVIDIA Dynamo is a distributed inference serving framework built to run LLMs efficiently, reliably, and at massive scale. It helps AI providers reduce cost-per-token, meet strict service level objectives, and scale deployments using Kubernetes across large GPU clusters. Learn how Dynamo delivers high-performance distributed inference across frameworks such as SGLang, TensorRT-LLM, and vLLM. We’ll explore key capabilities — including disaggregated serving, KV-cache-aware routing, topology-aware scheduling, and intelligent memory and cache management — that make Dynamo a powerful foundation for production workloads. Whether you’re evaluating Dynamo, experimenting it, or deepening your understanding of its capabilities and real-world impact, join us to ask questions, see how the system works under the hood, and get practical guidance from the experts who build and deploy it.",All Industries,"TensorRT, vLLM"
CWES81471,Accelerate Your AI Infrastructure at Scale [CWES81471],Connect With the Experts,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-cwes81471/,"Nicola Bianchi (Sr. Solution Architect, NVIDIA); Kristof De Brouwer (Sr. Solution Architect, NVIDIA); Pramod Kumbhar (Sr. Solutions Architect - HPC & AI, NVIDIA)","This session will be an extension to the session led by NVIDIA senior solutions architects Kristof De Brouwer and Nicola Bianchi titled ""Mastering AI Infrastructure At Scale — a DevOps Playbook."" You can ask questions about your scaled AI deployments of our technical experts, explore deployment strategies in depth, and engage in discussions on optimizing NVIDIA AI infrastructure for your specific environments.",HPC / Scientific Computing,"Bluefield, DGX, GB200, Grace, NVLink"
CWES81472,Build Industrial Digital Twins for the Era of Physical AI [CWES81472],Connect With the Experts,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-cwes81472/,"Mike Geyer (Omniverse Manufacturing Product Management Lead, NVIDIA); James McKenna (Product Manager, NVIDIA Omniverse, NVIDIA); Adam Brasic (Sr. Solutions Architect, NVIDIA); Teresa Conceicao (Solutions Architect Manager - Omniverse, NVIDIA); Roy C Anthony (Sr. Manager, Solutions Architecture, NVIDIA); Florian Gantert (Global Business Development and Strategy for Omniverse, NVIDIA)","Want to learn how to get started building industrial facility digital twins with NVIDIA Omniverse libraries and OpenUSD? Join this interactive support session with NVIDIA technical product managers and solutions architects to get direct help and surface your questions, issues, and ideas specific to your use case.",Manufacturing,Omniverse
CWES81473,Ask Us Anything About NVIDIA Mission Control [CWES81473],Connect With the Experts,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-cwes81473/,"Robert Stober (Solutions Architect, NVIDIA); Salah Chaou (Solutions Architect, NVIDIA); Jeff Weiss (Sr. Director, NVIDIA); Chad Chapman (Sr. Solutions Architect, NVIDIA); Charu Ramachandran (Sr. Solutions Architect, NVIDIA); Scott Ellis (Sr. Director, Solutions Architecture and Engineering, NVIDIA)",What is Mission Control? What goes into operating a high performance AI factory? How does Mission Control integrate with other tools and processes? This session is the place to get those types of questions answered!,All Industries,"CUDA, DGX, Grace, Mission Control, NCCL, NIM"
CWES81474,"Automating AI Factory Infrastructure (Ansible, GitOps, etc.) [CWES81474]",Connect With the Experts,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-cwes81474/,"Vallard Benincosa (Solutions Architect, NVIDIA); Scott Ellis (Sr. Director, Solutions Architecture and Engineering, NVIDIA); Martin Piercy (Sr. Solutions Architect, NVIDIA); Jeff Weiss (Sr. Director, NVIDIA); Chad Chapman (Sr. Solutions Architect, NVIDIA); David Dean (Sr. Solutions Architect, NVIDIA)","AI factories are hard, but automation can make life easier. Join us to get your questions answered about how to use industry standard and product-specific tools to automate the deployment and operation of your AI factory.",All Industries,Mission Control
CWES81481,Next-Gen Data Systems: GPU Acceleration for SQL and Vector Databases [CWES81481],Connect With the Experts,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-cwes81481/,"Tanmay Gujar (Developer Technology Engineer, NVIDIA); Corey Nolet (Principal Engineer, ML, Data Mining, and Vector Search, NVIDIA); Todd Mostak (Sr. Director of Engineering, NVIDIA); Felipe Aramburu (Distinguished Solutions Architect, NVIDIA); Manas Singh (TPM, Vector Search, NVIDIA)","AI applications increasingly rely on fast, scalable access to both structured data and high-dimensional vector embeddings. Traditional CPU-based systems struggle to meet these demands at scale. We'll explore how to accelerate SQL databases and vector search engines with GPUs, enabling rapid index builds, low-latency queries, and seamless integration of analytical and AI workloads. Learn how GPU-accelerated data systems unlock new performance levels for modern AI pipelines.",All Industries,"CUDA, cuDF, nvCOMP"
CWES81506,Accelerated Computing in Financial Services for Banking [CWES81506],Connect With the Experts,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-cwes81506/,"Benika Hall (Sr. Solutions Architect, NVIDIA); James Sutton (Sr. Solutions Architect, Gen AI, NVIDIA); Benjamin Wu (Sr. Solutions Architect, NVIDIA); Ellie Arbab (Solutions Architect, NVIDIA); Jessica Clark (Sr. Solutions Architect, NVIDIA); Bogdan Vioreanu (Sr. Solutions Architect, NVIDIA); Roman Yokunda Enzmann (Solutions Architect, NVIDIA); David Williams (Solutions Architect, NVIDIA); Alex Stephens (Sr. Solutions Architect, Financial Services, NVIDIA); Yongming Shi (Solution Architect Manager, NVIDIA); Marcus Manos (Solutions Architect, NVIDIA); Anass Majji (Solution Architect, NVIDIA); Emanuel Scoullos (Sr. Solutions Architect, NVIDIA); Flora Huang (Sr. Solutions Architect, NVIDIA)","Join this interactive session with NVIDIA experts to learn best practices and latest techniques for deploying AI applications and accelerated computing to banking use cases. We'll answer your questions, share implementation insights, and discuss architectural patterns for deploying AI reliably across on-premises, cloud, and hybrid environments. Gain practical guidance on navigating regulatory, data, and governance challenges, and learn how to design robust, efficient, and scalable solutions that unlock new products, services, and operational efficiencies for banks and financial institutions.",Financial Services,"CUDA, Grace, RAPIDS, Triton, cuDF"
