session_code,title,session_type,url,speakers,abstract,topics,nvidia_technologies
DLIT81642,Accelerate Apache Spark With GPU and AI: A Hands-On Workshop [DLIT81642],Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81642/,"Rishi Chandra (Systems Software Engineer, NVIDIA); Navin Kumar (Sr. System Software Engineer, NVIDIA); Hirakendu Das (Principal Software Engineer, NVIDIA)","In this training lab, we'll introduce Aether — a set of automation and AI tools that speed up and reduce the cost of accelerated extract, transform, load and analytics workloads on the RAPIDS Accelerator for Apache Spark. Aether combines automation along with advanced AI tools to automatically test and optimize your Apache Spark workloads with GPU.",All Industries,"CUDA, cuDF, nvCOMP"
DLIT81682,Accelerate Drug Discovery With NVIDIA Libraries and Platforms [DLIT81682],Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81682/,"Kristopher Kersten (Technical Marketing Engineer, NVIDIA); Neel Patel (Technical Marketing Engineer, NVIDIA)","The field of drug discovery is increasingly benefiting from AI, helping researchers build efficient predictive and generative workflows that drastically reduce time-to-clinic. NVIDIA accelerates this process with open-source solutions like BioNeMo Recipes, NIM, and Clara Open Models for Digital Biology, providing easy-to-adopt solutions for training and deploying foundation models and agentic AI systems for drug discovery. In this session, we'll demonstrate how the latest NVIDIA accelerated libraries and models streamline AI workflows, accelerate drug discovery, and enable more efficient biomolecular design and analysis.",Healthcare & Life Sciences,"CUDA, Clara, BioNeMo, NVIDIA NIM"
DLIT81700,Accelerate Robot Learning With Isaac Lab and Newton [DLIT81700],Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81700/,"Akul Santhosh (Solution Architect, Robotics, NVIDIA); Eric Heiden (Sr. Research Scientist, NVIDIA); Mohammad Mohajerani (Sr. Product Manager, NVIDIA)","This hands-on lab introduces Newton, a GPU-accelerated physics engine. Then we'll integrate Newton with Isaac Lab, showing how they can work together in robot-learning workflows. You'll configure tasks to run on Newton, and train and evaluate policies in Isaac Lab with Newton providing high-fidelity, high-throughput physics. You'll leave knowing how to use Newton for more realistic robotics simulation.",All Industries,Isaac
DLIT82150,Accelerate Video Frame Extraction and Labeling [DLIT82150],Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit82150/,"Khanh Nguyen (Software Engineer, NVIDIA); Suseella Panguluri (Sr. Manager, NVIDIA); Radha Sri-Tharan (Data Engineer, HitL, NVIDIA)","Learn how to reduce the cost associated with frame extraction for computer vision post-processing using free and publicly-accessible American Sign Language data. Use a novel, open-source framework and contribute to the world's largest dataset.",Media & Entertainment,
DLIT81587,Accelerated Omics and Single-cell Analysis Using NVIDIA GPUs [DLIT81587],Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81587/,"Gary Burnett (Technical Marketing Engineer, NVIDIA); Severin Dicks (NVIDIA); T.J. Chen (Product Lead, Genomics, NVIDIA)","The explosion of biological data generation and innovations in AI have opened new frontiers in scientific discovery and biomedicine. With the ability to process vast amounts of biological data, accelerated analysis and foundation model approaches are transforming digital biology. This workshop provides hands-on experience for how accelerated libraries and deep learning models can be leveraged to process and analyze complex biological data. Gain an understanding of the end-to-end process, from how NVIDIA libraries support data generation, pre-processing, and analysis of single-cell data, to how foundation models are being used and evaluated in the life sciences. Get an overview of relevant solutions in digital biology, such as Parabricks, RAPIDS-singlecell (developed by scverse), NVIDIA CUDA-X Data Science Libraries, and Clara Open Models.",Healthcare & Life Sciences,"Clara Parabricks, CUDA-X"
DLIT81567,Accelerating LLM Training and Inferencing With Reduced Precision Format [DLIT81567],Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81567/,"Oleg Rybakov (Principal Software Engineer, NVIDIA); Leo Du (Sr. Solutions Architect, Generative AI, NVIDIA); Sergio Perez (Solutions Architect, NVIDIA)","Large-scale LLMs require enormous computational resources, making efficiency crucial for training. Learn how cutting-edge reduced-precision formats such as FP8, MXFP4 and NVFP4 can dramatically accelerate pre-training, post-training, and inference while maintaining accuracy close to full-precision baseline models. You’ll learn how NVIDIA's innovative NVFP4 format better captures dynamic range and reduces quantization error compared to MXFP4. We'll cover techniques including Random Hadamard Transforms, two-dimensional block quantization, stochastic rounding, and strategic placement of higher-precision layers to stabilize training. Gain practical skills with the software tools necessary for quantization-aware training and efficient inference deployment, helping your applications retain accuracy while benefiting from reduced precision.",All Industries,"Cloud / Data Center GPU, CUDA, TensorRT, Hopper, CUDA-X, NeMo, NSight Systems, Blackwell, NVIDIA AI Enterprise"
DLIT81776,Adding Safety and Perception to Industrial Robots [DLIT81776],Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81776/,"Sammy Ochoa (Technical Marketing Engineer, NVIDIA); Edward Chan (coming soon, NVIDIA)","Learn to implement functional safety for robots using an ""outside-in"" approach. You will gain deep insight into building collaborative, AI-powered factory environments where vision systems and robotics converge to deliver operational intelligence and safety. We will connect industrial robots to factory-wide sensor infrastructure using NVIDIA Metropolis to build intelligent systems dedicated to robot safety. Through practical exercises, you will create a video analytics AI agent that extends a robot's real-time perception. This agent will enable critical safety features, such as automatic speed adjustments (slowing down or speeding up) and risk mitigation, essential for safe co-bot environments. To enable the outside-in approach for functional safety, this lab spotlights NVIDIA Halos for Outside-In Safety Agents powered by IGX Thor. Intermediate experience with Python, including packages, virtual environments, and scripting Familiarity with computer vision concepts, object detection, and AI inference pipelines Experience with robotics workflows and sensor integration Knowledge of data streaming, real-time analytics, and message-passing architectures",Manufacturing,"Metropolis, IGX"
DLIT82183,Advanced Workload Orchestration With NVIDIA Run:AI [DLIT82183],Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit82183/,"David Whitehouse (NVIDIA Academy Lab Manager, NVIDIA)","Take the next step in ML performance engineering with a deep dive into advanced orchestration on the NVIDIA Run:AI platform. This lab focuses on maximizing infrastructure efficiency through intelligent scheduling and automation. Explore capabilities such as GPU fractioning, GPU memory swap, and topology-aware multi-node placement—and learn how to apply them to complex distributed training and inference workloads. With hands-on guidance, you’ll build flexible, high-performance pipelines that dramatically improve speed, utilization, and throughput at scale.",All Industries,Mission Control
DLIT81592,"Advancing Multimodal Systems: Alignment, Information Typology, Reasoning, and Cross-Modal Flow [DLIT81592]",Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81592/,"Mireille Fares (Sr. AI Solution Architect, NVIDIA); Andrea Pilzer (HER Solutions Architect, NVIDIA)","This lab explores key principles for advancing multi-modal systems, focusing on multi-modal information typology, alignment, multi-step reasoning, and cross-modal flow. We analyze redundant, unique, and synergistic information, and examine multi-modal alignment through coarse-grained versus fine-grained behavior. The lab then investigates multi-step multi-modality reasoning with external knowledge, where agents integrate images, text, tables, and diagrams to solve complex tasks. Finally, we study multi-modal information flow through cross-modal translation, cross-modal editing, and cross-modal querying, supported by NIM examples for text-to-image generation, semantic image editing, and visual question-answering. Basic understanding of machine learning and deep learning concepts, including embeddings and neural network architectures. Familiarity with multimodal AI concepts, such as combining text, image, and other data modalities. Experience with Python programming and standard ML libraries (e.g., PyTorch, TensorFlow). Basic knowledge of data visualization techniques (e.g., PCA, t-SNE) for interpreting embeddings.",All Industries,
DLIT81800,Assembling Industrial Digital Twins with OpenUSD and NVIDIA Omniverse Libraries [DLIT81800],Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81800/,"Jay Axe (Technical Product Manager, NVIDIA); Ernesto Pacheco (coming soon, NVIDIA)","In this hands-on lab, participants will explore how to build industrial digital twins from manufacturing facilities to AI factories, using OpenUSD and NVIDIA Omniverse libraries, drawing on real-world collaboration with industry leaders. The session walks through an end-to-end workflow, from CAD models to full digital twin assembly, demonstrating how manufacturers are transforming design and production through simulation and interoperability.",All Industries,Omniverse
