name,description,company_url,tier
Amazon Web Services,"Amazon Web Services has been the world’s most comprehensive and broadly adopted cloud. AWS has been continually expanding its services to support virtually any workload, and it now has more than 240 fully featured services for compute, storage, databases, networking, analytics, machine learning and artificial intelligence (AI), Internet of Things (IoT), mobile, security, hybrid, media, and application development, deployment, and management. To learn more about AWS, visit aws.amazon.com.",https://aws.amazon.com/,Elite
CoreWeave,"CoreWeave is The Essential Cloud for AI™. Built for pioneers by pioneers, CoreWeave delivers a platform of technology, tools, and teams that enables innovators to move at the pace of innovation, building and scaling AI with confidence. Trusted by leading AI labs, startups, and global enterprises, CoreWeave serves as a force multiplier by combining superior infrastructure performance with deep technical expertise to accelerate breakthroughs.",https://www.coreweave.com/,Elite
Dell Technologies,"Dell Technologies (NYSE: DELL) helps organizations and individuals build their digital future and transform how they work, live and play. The company provides customers with the industry’s broadest and most innovative technology and services portfolio for the AI era.",https://www.dell.com/,Elite
Google Cloud,"Google Cloud is the new way to the cloud, providing AI, infrastructure, developer, data, security, and collaboration tools built for today and tomorrow. Google Cloud offers a powerful, optimized AI stack with its own planet-scale infrastructure, custom-built chips, generative AI models and development platform, as well as AI-powered applications, to help organizations transform. Customers in more than 200 countries and territories turn to Google Cloud as their trusted technology partner.",https://cloud.google.com/,Elite
HPE,"HPE is a leader in essential enterprise technology, bringing together the power of AI, cloud, and networking to help organizations achieve more. As pioneers of possibility, our innovation and expertise advance the way people live and work. We empower our customers across industries to optimize operational performance, transform data into foresight, and maximize their impact. Unlock your boldest ambitions, with HPE.",https://www.hpe.com/,Elite
Microsoft Azure,"Microsoft creates platforms and tools powered by AI to deliver innovative solutions that meet the evolving needs of our customers. The technology company is committed to making AI available broadly and doing so responsibly, with a mission to empower every person and every organization on the planet to achieve more.",https://azure.microsoft.com/,Elite
Nebius,"Nebius is a leading AI Cloud built to service the explosive growth of the global AI industry. The company has a global footprint with R&D hubs across Europe, North America and Israel. The core offering is an AI-centric cloud platform, fully developed in-house — including software, servers, racks, and data center design. The platform provides ML engineers and AI developers with the compute, storage, MLOps services, and tools needed to build, tune, and deploy AI models efficiently and at scale.",https://nebius.ai/,Elite
Oracle,"Oracle delivers computing infrastructure and software to drive innovation, efficiency, and effectiveness. We developed the world’s only autonomous database to organize and secure data. Oracle Cloud Infrastructure offers high performance, security, and cost savings, enabling easy workload migration to the cloud. Our cloud applications help leaders innovate, grow sustainably, and build resilience.",https://www.oracle.com/,Elite
Aivres Systems,"Aivres is a data center and AI infrastructure solutions provider committed to delivering innovative technologies that propel the world’s leading industries to new frontiers. We widely deliver and deploy cutting-edge hardware products and designs to major data centers supporting critical workloads in AI, cloud computing, and enterprise.",https://www.aivres.com/,Diamond
ASUS,"Founded in 1989, ASUS is a global leader in computer hardware known for innovation and reliability. ASUS advances AI and server technologies with high-performance solutions for data centers and accelerated computing. Key milestones include the Taiwania 2 supercomputer (TOP500 #10, Green500 #20) and the energy-efficient Forerunner 1 data center with a PUE of 1.17.",https://www.asus.com/,Diamond
Cisco,"Cisco is revolutionizing how infrastructure and data connect and protect organizations in the AI era. We help organizations transform data centers to power AI initiatives, create future-proofed workplaces, and drive digital resilience. Only Cisco combines the power of the network with security, observability, and collaboration to help organizations thrive.",https://www.cisco.com/,Diamond
DDN,"DDN is a leading AI and data intelligence company, empowering organizations to maximize the value of their data with end-to-end HPC and AI-focused solutions. Its customers range from the largest global enterprises and AI hyperscalers to cutting-edge research centers, all leveraging DDN’s proven data intelligence platform for scalable, secure, and high-performance AI deployments that drive 10x returns. Follow DDN: LinkedIn, X, and YouTube.",https://www.ddn.com/,Diamond
Delta Electronics,"Delta Electronics is a global leader in power and energy solutions, Delta serves industries such as IT, communications, industrial automation, renewable energy, building automation, and EVs. With increasing AI and cloud computing demands, Delta pioneers advanced power and cooling solutions for AI-driven data centers. Through ongoing research and development, Delta remains committed to improving energy efficiency and delivering sustainable, intelligent solutions for a greener future.",https://www.deltaww.com/,Diamond
Ernst & Young,"We help leaders turn AI ambition into action — building trusted foundations, unlocking new value and help empowering people to lead responsibly. EY.ai provides the strategy, tools and confidence to scale transformation across the enterprise.",https://www.ey.com/,Diamond
