title,date,time,end_time,speaker,session_type,url,abstract
Registration Desk,MON 1 DEC,noon,6:00 PM,,Registration Desk,https://neurips.cc/virtual/2025/registration-desk/129038,
Registration Desk,TUE 2 DEC,7:30 a.m.,6:00 PM,,Registration Desk,https://neurips.cc/virtual/2025/registration-desk/129039,
Women in Machine Learning,TUE 2 DEC,8 a.m.,5:00 PM,,Affinity Event,https://neurips.cc/virtual/2025/affinity-event/126050,
GRAID: Synthetic Data Generation with Geometric Constraints and Multi-Agentic Reflection for Harmful Content Detection,TUE 2 DEC,8:30 a.m.,9:30 AM,,Expo Talk Panel,https://neurips.cc/virtual/2025/128668,
Foundational Generative Recommendations for E-Commerce,TUE 2 DEC,8:30 a.m.,9:30 AM,,Expo Talk Panel,https://neurips.cc/virtual/2025/128667,
Beyond Benchmarks: Rethinking Reasoning in Language Models,TUE 2 DEC,8:30 a.m.,9:30 AM,,Expo Talk Panel,https://neurips.cc/virtual/2025/128665,
Data Scout: “From Prompt to Corpus: Accelerating Domain-Specific Data Collection with LLMGuided Discovery”,TUE 2 DEC,8:30 a.m.,9:30 AM,,Expo Talk Panel,https://neurips.cc/virtual/2025/128656,
Multimodal Data Foundation at Industry-Scale,TUE 2 DEC,8:30 a.m.,9:30 AM,,Expo Talk Panel,https://neurips.cc/virtual/2025/128659,
Toward General Full Autonomy: Open Research Challenges in Scalable Self-Driving,TUE 2 DEC,8:30 a.m.,9:30 AM,,Expo Talk Panel,https://neurips.cc/virtual/2025/128661,
Telling Stories at Scale: Multimodal ML in the Global Media Landscape,TUE 2 DEC,8:30 a.m.,9:30 AM,,Expo Talk Panel,https://neurips.cc/virtual/2025/128652,
Coffee Break,TUE 2 DEC,9 a.m.,10:00 AM,,Break,https://neurips.cc/virtual/2025/break/123910,
LatinX in AI,TUE 2 DEC,9 a.m.,5:00 PM,,Affinity Event,https://neurips.cc/virtual/2025/affinity-event/126048,
"Model Merging: Theory, Practice and Applications",TUE 2 DEC,9:30 a.m.,12:00 PM,,Tutorial,https://neurips.cc/virtual/2025/109593,
